clusterid,queryID,class,gene,allele,seqID,accession,positions,size,cluster_contains_multiple_genes,gene_found_in_multiple_clusters,bla_description,bla_class
79,CTX-M-80,Bla,CTX-M,CTX-M-80,604,ARO_3001941,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-81,Bla,CTX-M,CTX-M-81,605,ARO_3001942,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-82,Bla,CTX-M,CTX-M-82,606,ARO_3001943,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-83,Bla,CTX-M,CTX-M-83,607,ARO_3001944,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-84,Bla,CTX-M,CTX-M-84,608,ARO_3001945,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-85,Bla,CTX-M,CTX-M-85,609,ARO_3002495,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-86,Bla,CTX-M,CTX-M-86,610,ARO_3001946,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-87,Bla,CTX-M,CTX-M-87,611,ARO_3001947,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-88,Bla,CTX-M,CTX-M-88,612,ARO_3001948,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-89,Bla,CTX-M,CTX-M-89,613,ARO_3001949,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-9,Bla,CTX-M,CTX-M-9,614,ARO_3001872,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-90,Bla,CTX-M,CTX-M-90,615,ARO_3001950,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-91,Bla,CTX-M,CTX-M-91,616,ARO_3001951,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-92,Bla,CTX-M,CTX-M-92,617,ARO_3001952,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-93,Bla,CTX-M,CTX-M-93,618,ARO_3001953,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-94,Bla,CTX-M,CTX-M-94,619,ARO_3001954,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-96,Bla,CTX-M,CTX-M-96,620,ARO_3001956,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-98,Bla,CTX-M,CTX-M-98,621,ARO_3001957,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-99,Bla,CTX-M,CTX-M-99,622,ARO_3001958,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-115,Bla,CTX-M,CTX-M-115,623,ARO_3001975,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-124,Bla,CTX-M,CTX-M-124,624,ARO_3001983,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-14,Bla,CTX-M,CTX-M-14,625,ARO_3001877,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-152,Bla,CTX-M,CTX-M-152,626,ARO_3002009,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-3,Bla,CTX-M,CTX-M-3,627,ARO_3001866,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-37,Bla,CTX-M,CTX-M-37,628,ARO_3001899,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-5,Bla,CTX-M,CTX-M-5,629,ARO_3001868,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-76,Bla,CTX-M,CTX-M-76,630,ARO_3001937,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-77,Bla,CTX-M,CTX-M-77,631,ARO_3001938,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-78,Bla,CTX-M,CTX-M-78,632,ARO_3001939,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-95,Bla,CTX-M,CTX-M-95,633,ARO_3001955,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
79,CTX-M-133.v1,Bla,CTX-M,CTX-M-133.v1,634,ARG_AB185834,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
80,DES-1,Bla,DES,DES-1,635,ARO_3004780,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
81,DHA-1,Bla,DHA,DHA-1,636,ARO_3002132,-,-,no,no,class C beta-lactamase,Bla
81,DHA-10,Bla,DHA,DHA-10,637,ARO_3002141,-,-,no,no,class C beta-lactamase,Bla
81,DHA-12,Bla,DHA,DHA-12,638,ARO_3002143,-,-,no,no,class C beta-lactamase,Bla
81,DHA-13,Bla,DHA,DHA-13,639,ARO_3002144,-,-,no,no,class C beta-lactamase,Bla
81,DHA-14,Bla,DHA,DHA-14,640,ARO_3002145,-,-,no,no,class C beta-lactamase,Bla
81,DHA-15,Bla,DHA,DHA-15,641,ARO_3002146,-,-,no,no,class C beta-lactamase,Bla
81,DHA-16,Bla,DHA,DHA-16,642,ARO_3002147,-,-,no,no,class C beta-lactamase,Bla
81,DHA-17,Bla,DHA,DHA-17,643,ARO_3002148,-,-,no,no,class C beta-lactamase,Bla
81,DHA-18,Bla,DHA,DHA-18,644,ARO_3002149,-,-,no,no,class C beta-lactamase,Bla
81,DHA-19,Bla,DHA,DHA-19,645,ARO_3002150,-,-,no,no,class C beta-lactamase,Bla
81,DHA-2,Bla,DHA,DHA-2,646,ARO_3002133,-,-,no,no,class C beta-lactamase,Bla
81,DHA-20,Bla,DHA,DHA-20,647,ARO_3002151,-,-,no,no,class C beta-lactamase,Bla
81,DHA-21,Bla,DHA,DHA-21,648,ARO_3002152,-,-,no,no,class C beta-lactamase,Bla
81,DHA-22,Bla,DHA,DHA-22,649,ARO_3002153,-,-,no,no,class C beta-lactamase,Bla
81,DHA-3,Bla,DHA,DHA-3,650,ARO_3002134,-,-,no,no,class C beta-lactamase,Bla
81,DHA-5,Bla,DHA,DHA-5,651,ARO_3002138,-,-,no,no,class C beta-lactamase,Bla
81,DHA-6,Bla,DHA,DHA-6,652,ARO_3002135,-,-,no,no,class C beta-lactamase,Bla
81,DHA-7,Bla,DHA,DHA-7,653,ARO_3002136,-,-,no,no,class C beta-lactamase,Bla
81,DHA-9,Bla,DHA,DHA-9,654,ARO_3002140,-,-,no,no,class C beta-lactamase,Bla
82,DIM-1,Bla,DIM,DIM-1,655,ARO_3000848,-,-,no,no,carbapenem-hydrolyzing subclass B1 beta-lactamase,Bla_Carb
83,EBR-2,Bla,EBR,EBR-2,656,ARO_3004463,-,-,no,no,subclass B1 metallo beta-lactamase,Bla
83,EBR-1,Bla,EBR,EBR-1,657,ARO_3000842,-,-,no,no,carbapenem-hydrolyzing subclass B1 beta-lactamase,Bla_Carb
84,ERP-1,Bla,ERP,ERP-1,658,ARO_3004782,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
85,ESP-1,Bla,ESP,ESP-1,659,ARO_3003717,-,-,no,no,subclass B3 metallo-beta-lactamase,Bla
86,FAR-1,Bla,FAR,FAR-1,660,ARO_3004784,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
87,FEZ-1,Bla,FEZ,FEZ-1,661,ARO_3000606,-,-,no,no,subclass B3 metallo-beta-lactamase,Bla
88,FIM-1,Bla,FIM,FIM-1,662,ARO_3004786,-,-,no,no,carbapenem-hydrolyzing subclass B1 beta-lactamase,Bla_Carb
89,FONA-1,Bla,FONA,FONA-1,663,ARO_3004788,-,-,no,no,class A beta-lactamase,Bla
89,FONA-2,Bla,FONA,FONA-2,664,ARO_3004789,-,-,no,no,class A beta-lactamase,Bla
89,FONA-3,Bla,FONA,FONA-3,665,ARO_3004790,-,-,no,no,class A beta-lactamase,Bla
89,FONA-4,Bla,FONA,FONA-4,666,ARO_3004791,-,-,no,no,class A beta-lactamase,Bla
89,FONA-5,Bla,FONA,FONA-5,667,ARO_3004792,-,-,no,no,class A beta-lactamase,Bla
89,FONA-6,Bla,FONA,FONA-6,668,ARO_3004793,-,-,no,no,class A beta-lactamase,Bla
90,FOX-1,Bla,FOX,FOX-1,669,ARO_3002155,-,-,no,no,class C beta-lactamase,Bla
90,FOX-10,Bla,FOX,FOX-10,670,ARO_3002162,-,-,no,no,class C beta-lactamase,Bla
90,FOX-2,Bla,FOX,FOX-2,671,ARO_3002156,-,-,no,no,class C beta-lactamase,Bla
90,FOX-3,Bla,FOX,FOX-3,672,ARO_3002157,-,-,no,no,class C beta-lactamase,Bla
90,FOX-4,Bla,FOX,FOX-4,673,ARO_3002158,-,-,no,no,class C beta-lactamase,Bla
90,FOX-5,Bla,FOX,FOX-5,674,ARO_3002159,-,-,no,no,class C beta-lactamase,Bla
90,FOX-7,Bla,FOX,FOX-7,675,ARO_3002160,-,-,no,no,class C beta-lactamase,Bla
90,FOX-8,Bla,FOX,FOX-8,676,ARO_3002161,-,-,no,no,class C beta-lactamase,Bla
90,FOX-9,Bla,FOX,FOX-9,677,ARO_3002163,-,-,no,no,class C beta-lactamase,Bla
91,FPH-1,Bla,FPH,FPH-1,678,ARO_3004795,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
92,FRI-1,Bla,FRI,FRI-1,679,ARO_3004797,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
92,FRI-2,Bla,FRI,FRI-2,680,ARO_3004798,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
92,FRI-3,Bla,FRI,FRI-3,681,ARO_3004799,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
93,FTU-1,Bla,FTU,FTU-1,682,ARO_3004801,-,-,no,no,class A beta-lactamase,Bla
94,GES-13,Bla,GES,GES-13,683,ARO_3002342,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
94,GES-14,Bla,GES,GES-14,684,ARO_3002343,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
94,GES-15,Bla,GES,GES-15,685,ARO_3002344,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
94,GES-16,Bla,GES,GES-16,686,ARO_3002345,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
94,GES-17,Bla,GES,GES-17,687,ARO_3002346,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
94,GES-18,Bla,GES,GES-18,688,ARO_3002347,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
94,GES-19,Bla,GES,GES-19,689,ARO_3002348,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
94,GES-20,Bla,GES,GES-20,690,ARO_3002349,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
94,GES-21,Bla,GES,GES-21,691,ARO_3002350,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
94,GES-24,Bla,GES,GES-24,692,ARO_3002353,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
94,GES-4,Bla,GES,GES-4,693,ARO_3002333,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
94,GES-5,Bla,GES,GES-5,694,ARO_3002334,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
94,GES-6,Bla,GES,GES-6,695,ARO_3002335,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
94,GES-1.v1,Bla,GES,GES-1.v1,696,ARG_HM370522,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
94,GES-1.v2,Bla,GES,GES-1.v2,697,ARO_3002330,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
94,GES-11,Bla,GES,GES-11,698,ARO_3002340,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
94,GES-23,Bla,GES,GES-23,699,ARO_3002352,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
94,GES-7,Bla,GES,GES-7,700,ARO_3002336,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
94,GES-8,Bla,GES,GES-8,701,ARO_3002337,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
94,GES-12,Bla,GES,GES-12,702,ARO_3002341,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
94,GES-2,Bla,GES,GES-2,703,ARO_3002331,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
94,GES-9,Bla,GES,GES-9,704,ARO_3002338,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
94,GES-10,Bla,GES,GES-10,705,ARO_3002339,-,-,no,no,NA,NA
94,GES-22,Bla,GES,GES-22,706,ARO_3002351,-,-,no,no,NA,NA
94,GES-26,Bla,GES,GES-26,707,ARO_3003181,-,-,no,no,NA,NA
94,GES-3,Bla,GES,GES-3,708,ARO_3002332,-,-,no,no,NA,NA
95,GIM-1,Bla,GIM,GIM-1,709,ARO_3000845,-,-,no,no,NA,NA
95,GIM-2,Bla,GIM,GIM-2,710,ARO_3003194,-,-,no,no,NA,NA
96,GOB-1,Bla,GOB,GOB-1,711,ARO_3000850,-,-,no,no,subclass B3 metallo-beta-lactamase,Bla
96,GOB-10,Bla,GOB,GOB-10,712,ARO_3004802,-,-,no,no,subclass B3 metallo-beta-lactamase,Bla
96,GOB-11,Bla,GOB,GOB-11,713,ARO_3004803,-,-,no,no,subclass B3 metallo-beta-lactamase,Bla
96,GOB-12,Bla,GOB,GOB-12,714,ARO_3004804,-,-,no,no,subclass B3 metallo-beta-lactamase,Bla
96,GOB-13,Bla,GOB,GOB-13,715,ARO_3004805,-,-,no,no,subclass B3 metallo-beta-lactamase,Bla
96,GOB-14,Bla,GOB,GOB-14,716,ARO_3004806,-,-,no,no,subclass B3 metallo-beta-lactamase,Bla
96,GOB-15,Bla,GOB,GOB-15,717,ARO_3004807,-,-,no,no,subclass B3 metallo-beta-lactamase,Bla
96,GOB-16,Bla,GOB,GOB-16,718,ARO_3004808,-,-,no,no,subclass B3 metallo-beta-lactamase,Bla
96,GOB-18,Bla,GOB,GOB-18,719,ARO_3004213,-,-,no,no,subclass B3 metallo-beta-lactamase,Bla
96,GOB-5,Bla,GOB,GOB-5,720,ARO_3004812,-,-,no,no,subclass B3 metallo-beta-lactamase,Bla
96,GOB-7,Bla,GOB,GOB-7,721,ARO_3004814,-,-,no,no,subclass B3 metallo-beta-lactamase,Bla
96,GOB-8,Bla,GOB,GOB-8,722,ARO_3004815,-,-,no,no,subclass B3 metallo-beta-lactamase,Bla
96,GOB-9,Bla,GOB,GOB-9,723,ARO_3004816,-,-,no,no,subclass B3 metallo-beta-lactamase,Bla
97,HERA-1,Bla,HERA,HERA-1,724,ARO_3004448,-,-,no,no,class A broad spectrum beta-lactamase,Bla_broad
97,HERA-2,Bla,HERA,HERA-2,725,ARO_3004817,-,-,no,no,class A broad spectrum beta-lactamase,Bla_broad
97,HERA-3,Bla,HERA,HERA-3,726,ARO_3004818,-,-,no,no,class A broad spectrum beta-lactamase,Bla_broad
97,HERA-4,Bla,HERA,HERA-4,727,ARO_3004819,-,-,no,no,class A broad spectrum beta-lactamase,Bla_broad
97,HERA-5,Bla,HERA,HERA-5,728,ARO_3004820,-,-,no,no,class A broad spectrum beta-lactamase,Bla_broad
97,HERA-6,Bla,HERA,HERA-6,729,ARO_3004821,-,-,no,no,class A broad spectrum beta-lactamase,Bla_broad
97,HERA-8,Bla,HERA,HERA-8,730,ARO_3004822,-,-,no,no,class A broad spectrum beta-lactamase,Bla_broad
98,HMB-1,Bla,HMB,HMB-1,731,ARO_3004092,-,-,no,no,subclass B1 metallo beta-lactamase,Bla
99,IMI-1,Bla,IMI,IMI-1,732,ARO_3001858,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
99,IMI-2,Bla,IMI,IMI-2,733,ARO_3001859,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
99,IMI-3,Bla,IMI,IMI-3,734,ARO_3001860,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
99,IMI-4,Bla,IMI,IMI-4,735,ARO_3001861,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
99,IMI-7,Bla,IMI,IMI-7,736,ARO_3003177,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
99,IMI-8,Bla,IMI,IMI-8,737,ARO_3003142,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
99,NmcA,Bla,IMI,NmcA,738,ARO_3003589,-,-,no,no,IMI family carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
100,IMP-1,Bla,IMP,IMP-1,739,ARO_3002192,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-10,Bla,IMP,IMP-10,740,ARO_3002201,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-11,Bla,IMP,IMP-11,741,ARO_3002202,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-12,Bla,IMP,IMP-12,742,ARO_3002203,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-13,Bla,IMP,IMP-13,743,ARO_3002204,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-14,Bla,IMP,IMP-14,744,ARO_3002205,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-15,Bla,IMP,IMP-15,745,ARO_3002206,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-16,Bla,IMP,IMP-16,746,ARO_3002207,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-18.v1,Bla,IMP,IMP-18.v1,747,ARG_AB587676,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-18.v2,Bla,IMP,IMP-18.v2,748,ARO_3002209,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-19,Bla,IMP,IMP-19,749,ARO_3002210,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-2,Bla,IMP,IMP-2,750,ARO_3002193,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-20,Bla,IMP,IMP-20,751,ARO_3002211,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-21,Bla,IMP,IMP-21,752,ARO_3002212,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-22,Bla,IMP,IMP-22,753,ARO_3002213,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-24,Bla,IMP,IMP-24,754,ARO_3002215,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-25,Bla,IMP,IMP-25,755,ARO_3002216,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-26,Bla,IMP,IMP-26,756,ARO_3002217,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-27,Bla,IMP,IMP-27,757,ARO_3002218,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-28,Bla,IMP,IMP-28,758,ARO_3002219,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-29,Bla,IMP,IMP-29,759,ARO_3002220,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-3,Bla,IMP,IMP-3,760,ARO_3002194,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-30,Bla,IMP,IMP-30,761,ARO_3002221,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-31,Bla,IMP,IMP-31,762,ARO_3002222,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-32,Bla,IMP,IMP-32,763,ARO_3002223,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-33,Bla,IMP,IMP-33,764,ARO_3002224,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-34,Bla,IMP,IMP-34,765,ARO_3002225,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-35,Bla,IMP,IMP-35,766,ARO_3002226,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-37,Bla,IMP,IMP-37,767,ARO_3002228,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-38,Bla,IMP,IMP-38,768,ARO_3002229,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-4,Bla,IMP,IMP-4,769,ARO_3002195,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-40,Bla,IMP,IMP-40,770,ARO_3002231,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-41,Bla,IMP,IMP-41,771,ARO_3002232,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-42,Bla,IMP,IMP-42,772,ARO_3002233,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-43,Bla,IMP,IMP-43,773,ARO_3002234,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-44,Bla,IMP,IMP-44,774,ARO_3002235,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-45,Bla,IMP,IMP-45,775,ARO_3002236,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-48,Bla,IMP,IMP-48,776,ARO_3002239,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-49,Bla,IMP,IMP-49,777,ARO_3003657,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-5,Bla,IMP,IMP-5,778,ARO_3002196,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-51,Bla,IMP,IMP-51,779,ARO_3003659,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-52,Bla,IMP,IMP-52,780,ARO_3004823,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-55,Bla,IMP,IMP-55,781,ARO_3004494,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-56,Bla,IMP,IMP-56,782,ARO_3004495,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-6,Bla,IMP,IMP-6,783,ARO_3002197,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-7,Bla,IMP,IMP-7,784,ARO_3002198,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-8,Bla,IMP,IMP-8,785,ARO_3002199,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
100,IMP-9,Bla,IMP,IMP-9,786,ARO_3002200,-,-,no,no,carbapenem-hydrolyzing subclass B1 metallo-beta-lactamase,Bla_Carb
101,IND-2a,Bla,IND,IND-2a,787,ARO_3002258,-,-,no,no,subclass B1 metallo-beta-lactamase,Bla
101,IND-1,Bla,IND,IND-1,788,ARO_3002256,-,-,no,no,NA,NA
101,IND-10,Bla,IND,IND-10,789,ARO_3002266,-,-,no,no,NA,NA
101,IND-11,Bla,IND,IND-11,790,ARO_3002267,-,-,no,no,NA,NA
101,IND-12,Bla,IND,IND-12,791,ARO_3002268,-,-,no,no,NA,NA
101,IND-14,Bla,IND,IND-14,792,ARO_3002269,-,-,no,no,NA,NA
101,IND-15,Bla,IND,IND-15,793,ARO_3002270,-,-,no,no,NA,NA
101,IND-2.v1,Bla,IND,IND-2.v1,794,ARG_EF394439,-,-,no,no,NA,NA
101,IND-2.v2,Bla,IND,IND-2.v2,795,ARO_3002257,-,-,no,no,NA,NA
101,IND-3,Bla,IND,IND-3,796,ARO_3002259,-,-,no,no,NA,NA
101,IND-4,Bla,IND,IND-4,797,ARO_3002260,-,-,no,no,NA,NA
101,IND-5,Bla,IND,IND-5,798,ARO_3002261,-,-,no,no,NA,NA
101,IND-6,Bla,IND,IND-6,799,ARO_3002262,-,-,no,no,NA,NA
101,IND-7,Bla,IND,IND-7,800,ARO_3002263,-,-,no,no,NA,NA
101,IND-8,Bla,IND,IND-8,801,ARO_3002264,-,-,no,no,NA,NA
101,IND-9,Bla,IND,IND-9,802,ARO_3002265,-,-,no,no,NA,NA
102,JOHN-1,Bla,JOHN-1,JOHN-1,803,ARO_3000840,-,-,no,no,subclass B1 metallo beta-lactamase,Bla
103,KHM-1,Bla,KHM,KHM-1,804,ARO_3000847,-,-,no,no,subclass B1 metallo beta-lactamase,Bla
104,KPC-10,Bla,KPC,KPC-10,805,ARO_3002320,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
104,KPC-11,Bla,KPC,KPC-11,806,ARO_3002321,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
104,KPC-12,Bla,KPC,KPC-12,807,ARO_3002322,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
104,KPC-13.v1,Bla,KPC,KPC-13.v1,808,ARG_HQ342890,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
104,KPC-13.v2,Bla,KPC,KPC-13.v2,809,ARO_3002323,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
104,KPC-14,Bla,KPC,KPC-14,810,ARO_3002324,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
104,KPC-15,Bla,KPC,KPC-15,811,ARO_3002325,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
104,KPC-16,Bla,KPC,KPC-16,812,ARO_3002326,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
104,KPC-17,Bla,KPC,KPC-17,813,ARO_3002327,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
104,KPC-19,Bla,KPC,KPC-19,814,ARO_3002329,-,-,no,no,carbapenem-hydrolyzing class A beta-lactamase,Bla_Carb
