seqID,clusterid,gene,allele,cluster_contains_multiple_genes,gene_found_in_multiple_clusters,idInFile,symbol,class,accession,positions,size,Lahey,Bla_Class
249,272,VIM-1_Bla,VIM-32,no,yes,Bla___VIM-32___JN676230___1550-2350___801,VIM-32,Bla,JN676230,1550-2350,801,carbapenem-hydrolyzing metallo-beta-lactamase VIM-32,Bla_Carb
250,272,VIM-1_Bla,VIM-33,no,yes,Bla___VIM-33___JX258134___1-801___801,VIM-33,Bla,JX258134,1-801,801,carbapenem-hydrolyzing metallo-beta-lactamase VIM-33,Bla_Carb
251,272,VIM-1_Bla,VIM-34,no,yes,Bla___VIM-34___JX013656___1-801___801,VIM-34,Bla,JX013656,1-801,801,carbapenem-hydrolyzing metallo-beta-lactamase VIM-34,Bla_Carb
252,272,VIM-1_Bla,VIM-35,no,yes,Bla___VIM-35___JX982634___1-801___801,VIM-35,Bla,JX982634,1-801,801,carbapenem-hydrolyzing metallo-beta-lactamase VIM-35,Bla_Carb
253,272,VIM-1_Bla,VIM-36,no,yes,Bla___VIM-36___JX982635___1-801___801,VIM-36,Bla,JX982635,1-801,801,carbapenem-hydrolyzing metallo-beta-lactamase VIM-36,Bla_Carb
254,272,VIM-1_Bla,VIM-37,no,yes,Bla___VIM-37___JX982636___1-801___801,VIM-37,Bla,JX982636,1-801,801,carbapenem-hydrolyzing metallo-beta-lactamase VIM-37,Bla_Carb
255,272,VIM-1_Bla,VIM-38,no,yes,Bla___VIM-38___KC469971___1-801___801,VIM-38,Bla,KC469971,1-801,801,carbapenem-hydrolyzing metallo-beta-lactamase VIM-38,Bla_Carb
258,275,OXA-48_Bla,OXA-48,no,yes,Bla___OXA-48___AY236073___2188-2985___798,OXA-48,Bla,AY236073,2188-2985,798,carbapenem-hydrolyzing class D beta-lactamase OXA-48,Bla_Carb
259,275,OXA-48_Bla,OXA-54,no,yes,Bla___OXA-54___AY500137___1-798___798,OXA-54,Bla,AY500137,1-798,798,carbapenem-hydrolyzing class D beta-lactamase OXA-54,Bla_Carb
260,275,OXA-48_Bla,OXA-162,no,yes,Bla___OXA-162___GU197550___1-798___798,OXA-162,Bla,GU197550,1-798,798,carbapenem-hydrolyzing class D beta-lactamase OXA-162,Bla_Carb
261,275,OXA-48_Bla,OXA-163,no,yes,Bla___OXA-163___HQ700343___1-786___786,OXA-163,Bla,HQ700343,1-786,786,carbapenem-hydrolyzing class D beta-lactamase OXA-163,Bla_Carb
262,275,OXA-48_Bla,OXA-181,no,yes,Bla___OXA-181___HM992946___1-798___798,OXA-181,Bla,HM992946,1-798,798,carbapenem-hydrolyzing class D beta-lactamase OXA-181,Bla_Carb
263,275,OXA-48_Bla,OXA-204,no,yes,Bla___OXA-204___JQ809466___5375-6172___798,OXA-204,Bla,JQ809466,5375-6172,798,carbapenem-hydrolyzing class D beta-lactamase OXA-204,Bla_Carb
264,275,OXA-48_Bla,OXA-244,no,yes,Bla___OXA-244___JX438000___1-798___798,OXA-244,Bla,JX438000,1-798,798,carbapenem-hydrolyzing class D beta-lactamase OXA-244,Bla_Carb
265,275,OXA-48_Bla,OXA-245,no,yes,Bla___OXA-245___JX438001______1-798___798,OXA-245,Bla,JX438001,1-798,798,carbapenem-hydrolyzing class D beta-lactamase OXA-245,Bla_Carb
266,275,OXA-48_Bla,OXA-247,no,yes,Bla___OXA-247___JX893517___1-786___786,OXA-247,Bla,JX893517,1-786,786,carbapenem-hydrolyzing class D beta-lactamase OXA-247,Bla_Carb
267,276,VIM-7_Bla,VIM-7,no,yes,Bla___VIM-7___AJ536835___150-946___801,VIM-7,Bla,AJ536835,150-946,801,carbapenem-hydrolyzing metallo-beta-lactamase VIM-7,Bla_Carb
329,337,Mbl_Bla,Mbl,no,no,Bla___Mbl___NC_010410___c1997136-1996441___696,Mbl,Bla,NC_010410,c1997136-1996441,696,NA,NA
331,331,KHM-1_Bla,KHM-1,no,no,Bla___KHM-1___AB364006___62-787___726,KHM-1,Bla,AB364006,62-787,726,NA,NA
332,330,CGB-1_Bla,CGB-1,no,no,Bla___CGB-1___EF672680___1-729___729,CGB-1,Bla,EF672680,1-729,729,NA,NA
333,333,EBR-1_Bla,EBR-1,no,no,Bla___EBR-1___AF416700___57-764___708,EBR-1,Bla,AF416700,57-764,708,NA,NA
334,332,IND-1_Bla,IND-1,no,yes,Bla___IND-1___EF394436___1-720___720,IND-1,Bla,EF394436,1-720,720,carbapenem-hydrolyzing metallo-beta-lactamase IND-1,Bla_Carb
335,332,IND-1_Bla,IND-3,no,yes,Bla___IND-3___AF219133___1-720___720,IND-3,Bla,AF219133,1-720,720,carbapenem-hydrolyzing metallo-beta-lactamase IND-3,Bla_Carb
336,332,IND-1_Bla,IND-5,no,yes,Bla___IND-5___AY504627___1-720___720,IND-5,Bla,AY504627,1-720,720,carbapenem-hydrolyzing metallo-beta-lactamase IND-5,Bla_Carb
337,332,IND-1_Bla,IND-6,no,yes,Bla___IND-6___AM087455___229-1011___720,IND-6,Bla,AM087455,229-1011,720,carbapenem-hydrolyzing metallo-beta-lactamase IND-6,Bla_Carb
338,332,IND-1_Bla,IND-7,no,yes,Bla___IND-7___AB529520___1-720___720,IND-7,Bla,AB529520,1-720,720,carbapenem-hydrolyzing metallo-beta-lactamase IND-7,Bla_Carb
339,332,IND-1_Bla,IND-8,no,yes,Bla___IND-8___GU186044___40-759___720,IND-8,Bla,GU186044,40-759,720,carbapenem-hydrolyzing metallo-beta-lactamase IND-8,Bla_Carb
340,332,IND-1_Bla,IND-9,no,yes,Bla___IND-9___GU186045___35-754___720,IND-9,Bla,GU186045,35-754,720,carbapenem-hydrolyzing metallo-beta-lactamase IND-9,Bla_Carb
341,332,IND-1_Bla,IND-10,no,yes,Bla___IND-10___GU206353___19-738___720,IND-10,Bla,GU206353,19-738,720,carbapenem-hydrolyzing metallo-beta-lactamase IND-10,Bla_Carb
342,332,IND-1_Bla,IND-14,no,yes,Bla___IND-14___HM367709___8-728___728,IND-14,Bla,HM367709,8-728,728,carbapenem-hydrolyzing metallo-beta-lactamase IND-14,Bla_Carb
346,99,AmpC2_Ecoli_Bla,AmpC2,no,no,Bla___AmpC2_Ecoli___CP002970___332756-333889___1134,AmpC2,Bla,CP002970,332756-333889,1134,NA,NA
347,98,DHA_Bla,MOR,yes,no,Bla___MOR___Y10283___546-1685___1140,MOR,Bla,Y10283,546-1685,1140,NA,NA
348,98,DHA_Bla,Mor-2,yes,no,Bla___Mor-2___AY235804___110-1249___1140,Mor-2,Bla,AY235804,110-1249,1140,NA,NA
349,98,DHA_Bla,DHA-1,yes,no,Bla___DHA-1___HM193083___987-2126___1140,DHA-1,Bla,HM193083,987-2126,1140,cephalosporin-hydrolyzing class C beta-lactamase DHA-1,Bla
350,98,DHA_Bla,DHA-2,yes,no,Bla___DHA-2___AF259520___1513-2652___1140,DHA-2,Bla,AF259520,1513-2652,1140,cephalosporin-hydrolyzing class C beta-lactamase DHA-2,Bla
351,98,DHA_Bla,DHA-3,yes,no,Bla___DHA-3___AY494945___1310-2449___1140,DHA-3,Bla,AY494945,1310-2449,1140,cephalosporin-hydrolyzing class C beta-lactamase DHA-3,Bla
352,98,DHA_Bla,DHA-5,yes,no,Bla___DHA-5___JF273491___745-1885___1140,DHA-5,Bla,JF273491,745-1885,1140,cephalosporin-hydrolyzing class C beta-lactamase DHA-5,Bla
353,98,DHA_Bla,DHA-6,yes,no,Bla___DHA-6___HQ322612___1-1140___1140,DHA-6,Bla,HQ322612,1-1140,1140,cephalosporin-hydrolyzing class C beta-lactamase DHA-6,Bla
354,98,DHA_Bla,DHA-7,yes,no,Bla___DHA-7___HQ456945___1-1140___1140,DHA-7,Bla,HQ456945,1-1140,1140,cephalosporin-hydrolyzing class C beta-lactamase DHA-7,Bla
355,91,CMY-MOX_Bla,MOX-1,yes,no,Bla___MOX-1___D13304___233-1381___1159,MOX-1,Bla,D13304,233-1381,1159,cephalosporin-hydrolyzing class C beta-lactamase MOX-1,Bla
356,91,CMY-MOX_Bla,MOX-2,yes,no,Bla___MOX-2___AJ276453___4620-5768___1149,MOX-2,Bla,AJ276453,4620-5768,1149,cephalosporin-hydrolyzing class C beta-lactamase MOX-2,Bla
357,91,CMY-MOX_Bla,MOX-3,yes,no,Bla___MOX-3___EU515248___1-1149___1149,MOX-3,Bla,EU515248,1-1149,1149,cephalosporin-hydrolyzing class C beta-lactamase MOX-3,Bla
358,91,CMY-MOX_Bla,MOX-4,yes,no,Bla___MOX-4___FJ262599___1-1149___1149,MOX-4,Bla,FJ262599,1-1149,1149,cephalosporin-hydrolyzing class C beta-lactamase MOX-4,Bla
359,91,CMY-MOX_Bla,MOX-5,yes,no,Bla___MOX-5___GQ152600___1-1152___1152,MOX-5,Bla,GQ152600,1-1152,1152,cephalosporin-hydrolyzing class C beta-lactamase MOX-5,Bla
360,91,CMY-MOX_Bla,MOX-6,yes,no,Bla___MOX-6___GQ152601___1-1152___1152,MOX-6,Bla,GQ152601,1-1152,1152,cephalosporin-hydrolyzing class C beta-lactamase MOX-6,Bla
361,91,CMY-MOX_Bla,MOX-7,yes,no,Bla___MOX-7___GQ152602___1-1152___1152,MOX-7,Bla,GQ152602,1-1152,1152,cephalosporin-hydrolyzing class C beta-lactamase MOX-7,Bla
362,91,CMY-MOX_Bla,CMY-1,yes,yes,Bla___CMY-1___X92508___1-1149___1149,CMY-1,Bla,X92508,1-1149,1149,class C beta-lactamase CMY-1,Bla
363,91,CMY-MOX_Bla,CMY-8,yes,yes,Bla___CMY-8___AF167990___613-1761___1149,CMY-8,Bla,AF167990,613-1761,1149,class C extended-spectrum beta-lactamase CMY-8,Bla_ESBL
364,91,CMY-MOX_Bla,CMY-9,yes,yes,Bla___CMY-9___AB061794___6018-7166___1149,CMY-9,Bla,AB061794,6018-7166,1149,class C beta-lactamase CMY-9,Bla
365,91,CMY-MOX_Bla,CMY-10,yes,yes,Bla___CMY-10___AF373217___1-1149___1149,CMY-10,Bla,AF373217,1-1149,1149,class C beta-lactamase CMY-10,Bla
366,91,CMY-MOX_Bla,CMY-11,yes,yes,Bla___CMY-11___AF381626___254-1402___1149,CMY-11,Bla,AF381626,254-1402,1149,class C beta-lactamase CMY-11,Bla
367,91,CMY-MOX_Bla,CMY-19,yes,yes,Bla___CMY-19___AB194410___1-1146___1146,CMY-19,Bla,AB194410,1-1146,1146,class C beta-lactamase CMY-19,Bla
369,93,TRU-1_Bla,TRU-1,no,no,Bla___TRU-1___EU046614___1-1149___1149,TRU-1,Bla,EU046614,1-1149,1149,NA,NA
370,92,CMY_Bla,LAT-1,yes,no,Bla___LAT-1___X78117___122-1287___1146,LAT-1,Bla,X78117,122-1287,1146,CMY-2 family cephalosporin-hydrolyzing class C beta-lactamase LAT-1,Bla
371,92,CMY_Bla,CFE-1,yes,no,Bla___CFE-1___AB107899___1008-2153___1161,CFE-1,Bla,AB107899,1008-2153,1161,CMY-2 family  cephalosporin-hydrolyzing class C beta-lactamase CFE-1,Bla
372,92,CMY_Bla,BIL-1,yes,no,Bla___BIL-1___X74512___127-1272___1146,BIL-1,Bla,X74512,127-1272,1146,NA,NA
373,92,CMY_Bla,CMY-2,yes,yes,Bla___CMY-2___AM779746___1-1149___1149,CMY-2,Bla,AM779746,1-1149,1149,class C beta-lactamase CMY-2,Bla
374,92,CMY_Bla,CMY-4,yes,yes,Bla___CMY-4___AF420597___1-1146___1146,CMY-4,Bla,AF420597,1-1146,1146,class C beta-lactamase CMY-4,Bla
375,92,CMY_Bla,CMY-5,yes,yes,Bla___CMY-5___Y17716___2374-3519___1146,CMY-5,Bla,Y17716,2374-3519,1146,class C beta-lactamase CMY-5,Bla
376,92,CMY_Bla,CMY-6,yes,yes,Bla___CMY-6___AJ011293___1-1146___1146,CMY-6,Bla,AJ011293,1-1146,1146,class C beta-lactamase CMY-6,Bla
377,92,CMY_Bla,CMY-7,yes,yes,Bla___CMY-7___AJ011291___1-1146___1146,CMY-7,Bla,AJ011291,1-1146,1146,class C beta-lactamase CMY-7,Bla
378,92,CMY_Bla,CMY-12,yes,yes,Bla___CMY-12___FR716828___847-1992___1146,CMY-12,Bla,FR716828,847-1992,1146,class C beta-lactamase CMY-12,Bla
379,92,CMY_Bla,CMY-13,yes,yes,Bla___CMY-13___AY339625___3641-4786___1146,CMY-13,Bla,AY339625,3641-4786,1146,class C beta-lactamase CMY-13,Bla
380,92,CMY_Bla,CMY-14,yes,yes,Bla___CMY-14___EU600193___1702-2847___1146,CMY-14,Bla,EU600193,1702-2847,1146,class C beta-lactamase CMY-14,Bla
381,92,CMY_Bla,CMY-15,yes,yes,Bla___CMY-15___AJ555823___1-1146___1146,CMY-15,Bla,AJ555823,1-1146,1146,class C beta-lactamase CMY-15,Bla
382,92,CMY_Bla,CMY-16,yes,yes,Bla___CMY-16___FM995219___3672-4817___1146,CMY-16,Bla,FM995219,3672-4817,1146,class C beta-lactamase CMY-16,Bla
383,92,CMY_Bla,CMY-17,yes,yes,Bla___CMY-17___AY513266___165-1310___1146,CMY-17,Bla,AY513266,165-1310,1146,class C beta-lactamase CMY-17,Bla
384,92,CMY_Bla,CMY-18,yes,yes,Bla___CMY-18___AY743434___47-1198___1152,CMY-18,Bla,AY743434,47-1198,1152,class C beta-lactamase CMY-18,Bla
385,92,CMY_Bla,CMY-20,yes,yes,Bla___CMY-20___AY960293___1-1143___1143,CMY-20,Bla,AY960293,1-1143,1143,class C beta-lactamase CMY-20,Bla
386,92,CMY_Bla,CMY-21,yes,yes,Bla___CMY-21___DQ139328___1-1146___1146,CMY-21,Bla,DQ139328,1-1146,1146,class C beta-lactamase CMY-21,Bla
387,92,CMY_Bla,CMY-22,yes,yes,Bla___CMY-22___DQ256079___1-1146___1146,CMY-22,Bla,DQ256079,1-1146,1146,class C beta-lactamase CMY-22,Bla
388,92,CMY_Bla,CMY-23,yes,yes,Bla___CMY-23___DQ438952___161-1306___1146,CMY-23,Bla,DQ438952,161-1306,1146,class C beta-lactamase CMY-23,Bla
389,92,CMY_Bla,CMY-24,yes,yes,Bla___CMY-24___EF415650___1-1146___1146,CMY-24,Bla,EF415650,1-1146,1146,class C beta-lactamase CMY-24,Bla
390,92,CMY_Bla,CMY-25,yes,yes,Bla___CMY-25___EU515249___1-1146___1146,CMY-25,Bla,EU515249,1-1146,1146,class C beta-lactamase CMY-25,Bla
391,92,CMY_Bla,CMY-26,yes,yes,Bla___CMY-26___AB300358___1-1146___1146,CMY-26,Bla,AB300358,1-1146,1146,class C beta-lactamase CMY-26,Bla
392,92,CMY_Bla,CMY-27,yes,yes,Bla___CMY-27___EU515250___1-1146___1146,CMY-27,Bla,EU515250,1-1146,1146,class C beta-lactamase CMY-27,Bla
393,92,CMY_Bla,CMY-28,yes,yes,Bla___CMY-28___EF561644___1-1146___1146,CMY-28,Bla,EF561644,1-1146,1146,class C beta-lactamase CMY-28,Bla
394,92,CMY_Bla,CMY-29,yes,yes,Bla___CMY-29___EF685371___1-1143___1143,CMY-29,Bla,EF685371,1-1143,1143,class C beta-lactamase CMY-29,Bla
395,92,CMY_Bla,CMY-30,yes,yes,Bla___CMY-30___EF685372___1-1143___1143,CMY-30,Bla,EF685372,1-1143,1143,class C extended-spectrum beta-lactamase CMY-30,Bla_ESBL
396,92,CMY_Bla,CMY-31,yes,yes,Bla___CMY-31___EF622224___1-1146___1146,CMY-31,Bla,EF622224,1-1146,1146,class C beta-lactamase CMY-31,Bla
397,92,CMY_Bla,CMY-32,yes,yes,Bla___CMY-32___EU496815___1-1146___1146,CMY-32,Bla,EU496815,1-1146,1146,class C beta-lactamase CMY-32,Bla
398,92,CMY_Bla,CMY-33,yes,yes,Bla___CMY-33___EU496816___1-1140___1140,CMY-33,Bla,EU496816,1-1140,1140,class C beta-lactamase CMY-33,Bla
399,92,CMY_Bla,CMY-34,yes,yes,Bla___CMY-34___EF394370___1-1146___1146,CMY-34,Bla,EF394370,1-1146,1146,class C beta-lactamase CMY-34,Bla
400,92,CMY_Bla,CMY-35,yes,yes,Bla___CMY-35___EF394371___1-1146___1146,CMY-35,Bla,EF394371,1-1146,1146,class C beta-lactamase CMY-35,Bla
401,92,CMY_Bla,CMY-36,yes,yes,Bla___CMY-36___EU331426___2375-3520___1146,CMY-36,Bla,EU331426,2375-3520,1146,class C beta-lactamase CMY-36,Bla
402,92,CMY_Bla,CMY-37,yes,yes,Bla___CMY-37___AB280919___1-1146___1146,CMY-37,Bla,AB280919,1-1146,1146,class C extended-spectrum beta-lactamase CMY-37,Bla_ESBL
403,92,CMY_Bla,CMY-38,yes,yes,Bla___CMY-38___AM931008___1-1146___1146,CMY-38,Bla,AM931008,1-1146,1146,class C beta-lactamase CMY-38,Bla
404,92,CMY_Bla,CMY-39,yes,yes,Bla___CMY-39___AB372224___1-1146___1146,CMY-39,Bla,AB372224,1-1146,1146,class C beta-lactamase CMY-39,Bla
405,92,CMY_Bla,CMY-40,yes,yes,Bla___CMY-40___EU515251___1-1146___1146,CMY-40,Bla,EU515251,1-1146,1146,class C beta-lactamase CMY-40,Bla
406,92,CMY_Bla,CMY-41,yes,yes,Bla___CMY-41___AB429270___15-1160___1146,CMY-41,Bla,AB429270,15-1160,1146,class C beta-lactamase CMY-41,Bla
407,92,CMY_Bla,CMY-42,yes,yes,Bla___CMY-42___HM146927___1-1146___1146,CMY-42,Bla,HM146927,1-1146,1146,class C extended-spectrum beta-lactamase CMY-42,Bla_ESBL
408,92,CMY_Bla,CMY-43,yes,yes,Bla___CMY-43___FJ360626___1-1146___1146,CMY-43,Bla,FJ360626,1-1146,1146,class C beta-lactamase CMY-43,Bla
409,92,CMY_Bla,CMY-44,yes,yes,Bla___CMY-44___FJ437066___1-1134___1134,CMY-44,Bla,FJ437066,1-1134,1134,class C beta-lactamase CMY-44,Bla
410,92,CMY_Bla,CMY-45,yes,yes,Bla___CMY-45___FN546177___1-1146___1146,CMY-45,Bla,FN546177,1-1146,1146,class C beta-lactamase CMY-45,Bla
411,92,CMY_Bla,CMY-46,yes,yes,Bla___CMY-46___FN556186___1-1146___1146,CMY-46,Bla,FN556186,1-1146,1146,class C beta-lactamase CMY-46,Bla
412,92,CMY_Bla,CMY-47,yes,yes,Bla___CMY-47___HM046998___1040-2185___1146,CMY-47,Bla,HM046998,1040-2185,1146,class C beta-lactamase CMY-47,Bla
413,92,CMY_Bla,CMY-48,yes,yes,Bla___CMY-48___HM569226___1040-2185___1146,CMY-48,Bla,HM569226,1040-2185,1146,class C beta-lactamase CMY-48,Bla
414,92,CMY_Bla,CMY-49,yes,yes,Bla___CMY-49___GQ402541___1-1146___1146,CMY-49,Bla,GQ402541,1-1146,1146,class C beta-lactamase CMY-49,Bla
415,92,CMY_Bla,CMY-50,yes,yes,Bla___CMY-50___FN645444___1-1146___1146,CMY-50,Bla,FN645444,1-1146,1146,class C beta-lactamase CMY-50,Bla
416,92,CMY_Bla,CMY-51,yes,yes,Bla___CMY-51___JQ733571___1028-2173___1146,CMY-51,Bla,JQ733571,1028-2173,1146,class C beta-lactamase CMY-51,Bla
417,92,CMY_Bla,CMY-53,yes,yes,Bla___CMY-53___HQ336940___1-1146___1146,CMY-53,Bla,HQ336940,1-1146,1146,class C beta-lactamase CMY-53,Bla
418,92,CMY_Bla,CMY-54,yes,yes,Bla___CMY-54___HM544039___1-1152___1152,CMY-54,Bla,HM544039,1-1152,1152,class C beta-lactamase CMY-54,Bla
419,92,CMY_Bla,CMY-55,yes,yes,Bla___CMY-55___HM544040___1-1146___1146,CMY-55,Bla,HM544040,1-1146,1146,class C beta-lactamase CMY-55,Bla
420,92,CMY_Bla,CMY-56,yes,yes,Bla___CMY-56___HQ322613___1-1146___1146,CMY-56,Bla,HQ322613,1-1146,1146,class C beta-lactamase CMY-56,Bla
421,92,CMY_Bla,CMY-57,yes,yes,Bla___CMY-57___HQ285243___1-1146___1146,CMY-57,Bla,HQ285243,1-1146,1146,class C beta-lactamase CMY-57,Bla
422,92,CMY_Bla,CMY-58,yes,yes,Bla___CMY-58___HQ185697___1268-2413___1146,CMY-58,Bla,HQ185697,1268-2413,1146,class C beta-lactamase CMY-58,Bla
423,92,CMY_Bla,CMY-59,yes,yes,Bla___CMY-59___HQ267530___1-1146___1146,CMY-59,Bla,HQ267530,1-1146,1146,class C beta-lactamase CMY-59,Bla
424,92,CMY_Bla,CMY-60,yes,yes,Bla___CMY-60___JF460794___1-1146___1146,CMY-60,Bla,JF460794,1-1146,1146,class C beta-lactamase CMY-60,Bla
425,92,CMY_Bla,CMY-61,yes,yes,Bla___CMY-61___JF460795___1-1143___1143,CMY-61,Bla,JF460795,1-1143,1143,class C beta-lactamase CMY-61,Bla
426,92,CMY_Bla,CMY-62,yes,yes,Bla___CMY-62___JF460796___1-1146___1146,CMY-62,Bla,JF460796,1-1146,1146,class C beta-lactamase CMY-62,Bla
427,92,CMY_Bla,CMY-63,yes,yes,Bla___CMY-63___HQ650104___64-1209___1146,CMY-63,Bla,HQ650104,64-1209,1146,class C beta-lactamase CMY-63,Bla
428,92,CMY_Bla,CMY-64,yes,yes,Bla___CMY-64___HQ832678___1-1146___1146,CMY-64,Bla,HQ832678,1-1146,1146,class C beta-lactamase CMY-64,Bla
429,92,CMY_Bla,CMY-65,yes,yes,Bla___CMY-65___JN714479___1041-2186___1146,CMY-65,Bla,JN714479,1041-2186,1146,class C beta-lactamase CMY-65,Bla
430,92,CMY_Bla,CMY-66,yes,yes,Bla___CMY-66___JN714478___1035-2180___1146,CMY-66,Bla,JN714478,1035-2180,1146,class C beta-lactamase CMY-66,Bla
431,92,CMY_Bla,CMY-67,yes,yes,Bla___CMY-67___JQ711185___1028-2173___1146,CMY-67,Bla,JQ711185,1028-2173,1146,class C beta-lactamase CMY-67,Bla
432,92,CMY_Bla,CMY-68,yes,yes,Bla___CMY-68___JN714480___1040-2185___1146,CMY-68,Bla,JN714480,1040-2185,1146,class C beta-lactamase CMY-68,Bla
433,92,CMY_Bla,CMY-69,yes,yes,Bla___CMY-69___JX049132___1-1146___1146,CMY-69,Bla,JX049132,1-1146,1146,class C beta-lactamase CMY-69,Bla
434,92,CMY_Bla,CMY-70,yes,yes,Bla___CMY-70___JX440350___1027-2172___1146,CMY-70,Bla,JX440350,1027-2172,1146,class C beta-lactamase CMY-70,Bla
435,92,CMY_Bla,CMY-71,yes,yes,Bla___CMY-71___JQ711184___1027-2172___1146,CMY-71,Bla,JQ711184,1027-2172,1146,class C beta-lactamase CMY-71,Bla
436,92,CMY_Bla,CMY-72,yes,yes,Bla___CMY-72___JX440352___1028-2173___1146,CMY-72,Bla,JX440352,1028-2173,1146,class C beta-lactamase CMY-72,Bla
437,92,CMY_Bla,CMY-73,yes,yes,Bla___CMY-73___GQ351345___1-1146___1146,CMY-73,Bla,GQ351345,1-1146,1146,class C beta-lactamase CMY-73,Bla
438,92,CMY_Bla,CMY-74,yes,yes,Bla___CMY-74___JX440349___1027-2172___1146,CMY-74,Bla,JX440349,1027-2172,1146,class C beta-lactamase CMY-74,Bla
439,92,CMY_Bla,CMY-75,yes,yes,Bla___CMY-75___JQ733572___1028-2173___1146,CMY-75,Bla,JQ733572,1028-2173,1146,class C beta-lactamase CMY-75,Bla
440,92,CMY_Bla,CMY-76,yes,yes,Bla___CMY-76___JQ733573___1028-2173___1146,CMY-76,Bla,JQ733573,1028-2173,1146,class C beta-lactamase CMY-76,Bla
441,92,CMY_Bla,CMY-77,yes,yes,Bla___CMY-77___JX440353___1027-2172___1146,CMY-77,Bla,JX440353,1027-2172,1146,class C beta-lactamase CMY-77,Bla
442,92,CMY_Bla,CMY-78,yes,yes,Bla___CMY-78___JQ733575___1028-2173___1146,CMY-78,Bla,JQ733575,1028-2173,1146,class C beta-lactamase CMY-78,Bla
443,92,CMY_Bla,CMY-79,yes,yes,Bla___CMY-79___JQ733576___1028-2173___1146,CMY-79,Bla,JQ733576,1028-2173,1146,class C beta-lactamase CMY-79,Bla
444,92,CMY_Bla,CMY-80,yes,yes,Bla___CMY-80___JQ733577___1027-2172___1146,CMY-80,Bla,JQ733577,1027-2172,1146,class C beta-lactamase CMY-80,Bla
445,92,CMY_Bla,CMY-81,yes,yes,Bla___CMY-81___JQ733578___1008-2153___1146,CMY-81,Bla,JQ733578,1008-2153,1146,class C beta-lactamase CMY-81,Bla
446,92,CMY_Bla,CMY-83,yes,yes,Bla___CMY-83___JX440351___1027-2172___1146,CMY-83,Bla,JX440351,1027-2172,1146,class C beta-lactamase CMY-83,Bla
447,92,CMY_Bla,CMY-84,yes,yes,Bla___CMY-84___JQ733579___1028-2173___1146,CMY-84,Bla,JQ733579,1028-2173,1146,class C beta-lactamase CMY-84,Bla
448,92,CMY_Bla,CMY-87,yes,yes,Bla___CMY-87___AB699171___1-1143___1143,CMY-87,Bla,AB699171,1-1143,1143,class C beta-lactamase CMY-87,Bla
449,92,CMY_Bla,CMY-94,yes,yes,Bla___CMY-94___JX514368___272-1417___1146,CMY-94,Bla,JX514368,272-1417,1146,class C beta-lactamase CMY-94,Bla
450,92,CMY_Bla,CMY-95,yes,yes,Bla___CMY-95___JX514369___297-1483___1146,CMY-95,Bla,JX514369,297-1483,1146,class C beta-lactamase CMY-95,Bla
451,92,CMY_Bla,CMY-104,yes,yes,Bla___CMY-104___KF150216___1-1146___1146,CMY-104,Bla,KF150216,1-1146,1146,class C beta-lactamase CMY-104,Bla
452,95,AmpC_Bla,AmpC,no,no,Bla___AmpC___AF211348___233-1378___1146,AmpC,Bla,AF211348,233-1378,1146,NA,NA
453,94,FOX-1_Bla,FOX-1,no,no,Bla___FOX-1___X77455___701-1849___1149,FOX-1,Bla,X77455,701-1849,1149,cephalosporin-hydrolyzing class C beta-lactamase FOX-1,Bla
454,94,FOX-1_Bla,FOX-2,no,no,Bla___FOX-2___Y10282___19-1167___1149,FOX-2,Bla,Y10282,19-1167,1149,cephalosporin-hydrolyzing class C beta-lactamase FOX-2,Bla
455,94,FOX-1_Bla,FOX-3,no,no,Bla___FOX-3___Y11068___17-1165___1149,FOX-3,Bla,Y11068,17-1165,1149,cephalosporin-hydrolyzing class C beta-lactamase FOX-3,Bla
456,94,FOX-1_Bla,FOX-4,no,no,Bla___FOX-4___AJ277535___1-1149___1149,FOX-4,Bla,AJ277535,1-1149,1149,cephalosporin-hydrolyzing class C beta-lactamase FOX-4,Bla
457,94,FOX-1_Bla,FOX-5,no,no,Bla___FOX-5___AY007369___1-1149___1149,FOX-5,Bla,AY007369,1-1149,1149,cephalosporin-hydrolyzing class C beta-lactamase FOX-5,Bla
458,94,FOX-1_Bla,FOX-6,no,no,Bla___FOX-6___AY034848___52-1200___1149,FOX-6,Bla,AY034848,52-1200,1149,NA,NA
459,94,FOX-1_Bla,FOX-7,no,no,Bla___FOX-7___AJ703796___1-1149___1149,FOX-7,Bla,AJ703796,1-1149,1149,cephalosporin-hydrolyzing class C beta-lactamase FOX-7,Bla
460,94,FOX-1_Bla,FOX-8,no,no,Bla___FOX-8___HM565917___1-1149___1149,FOX-8,Bla,HM565917,1-1149,1149,cephalosporin-hydrolyzing class C beta-lactamase FOX-8,Bla
461,94,FOX-1_Bla,FOX-9,no,no,Bla___FOX-9___JF896803___1-1149___1149,FOX-9,Bla,JF896803,1-1149,1149,cephalosporin-hydrolyzing class C beta-lactamase FOX-9,Bla
462,94,FOX-1_Bla,FOX-10,no,no,Bla___FOX-10___JX049131___1-1149___1149,FOX-10,Bla,JX049131,1-1149,1149,cephalosporin-hydrolyzing class C beta-lactamase FOX-10,Bla
464,96,ACT-MIR_Bla,ACT-1,yes,no,Bla___ACT-1___U58495___28-1173___1146,ACT-1,Bla,U58495,28-1173,1146,cephalosporin-hydrolyzing class C beta-lactamase ACT-1,Bla
