clusterid,queryID,class,gene,allele,seqID,accession,positions,size,cluster_contains_multiple_genes,gene_found_in_multiple_clusters
135,VanH-Pt__569,Gly,VanH-Pt,VanH-Pt,569,DQ018710,5109-6077,969,no,no
135,VanH-Pt2__570,Gly,VanH-Pt,VanH-Pt2,570,AY926880,2771-3739,969,no,no
136,Erm31__568,MLS,Erm31,Erm31,568,AF079138,154-1122,969,no,no
137,CARB-1__558,Bla,CARB,CARB-1,558,D86225,232-1098,867,no,no
137,CARB-11__566,Bla,CARB,CARB-11,566,AY008290,1-867,867,no,no
137,CARB-2__559,Bla,CARB,CARB-2,559,HQ157204,747-1613,867,no,no
137,CARB-3__560,Bla,CARB,CARB-3,560,S46063,122-1036,915,no,no
137,CARB-4__561,Bla,CARB,CARB-4,561,AY913772,1600-2466,867,no,no
137,CARB-6__562,Bla,CARB,CARB-6,562,AF030945,96-962,867,no,no
137,CARB-7__563,Bla,CARB,CARB-7,563,AF409092,888-1754,867,no,no
137,CARB-9__565,Bla,CARB,CARB-9,565,AY248038,2073-2939,867,no,no
137,PSE-4__557,Bla,CARB,PSE-4,557,AF313471,1422-2288,867,no,no
138,Zn-dependent_hydrolase__574,Bla,Zn-dependent_hydrolase,Zn-dependent_hydrolase,574,NC_010410,882015-882977,963,no,no
139,ErmS__573,MLS,ErmS,ErmS,573,M19269,460-1419,960,no,no
140,ErmW__548,MLS,ErmW,ErmW,548,D14532,1039-1974,936,no,no
141,AST-1__549,Bla,AST-1,AST-1,549,AF279904,160-1092,933,no,no
142,PME-1__541,Bla,PME-1,PME-1,541,HQ541434,3071-4000,930,no,no
143,PER-1__542,Bla,PER-1,PER-1,542,EF535600,1-927,927,no,no
143,PER-2__543,Bla,PER-1,PER-2,543,X93314,278-1204,927,no,no
143,PER-3__544,Bla,PER-1,PER-3,544,AY740681,7103-8029,927,no,no
143,PER-4__545,Bla,PER-1,PER-4,545,EU748544,1-927,927,no,no
143,PER-5__546,Bla,PER-1,PER-5,546,FJ627180,1-926,926,no,no
143,PER-7__547,Bla,PER-1,PER-7,547,JQ639792,6580-7506,927,no,no
144,PER-6__539,Bla,PER-6,PER-6,539,HM453327,787-1713,927,no,no
145,Aph6-Ia__540,AGly,Aph6-Ia,Aph6-Ia,540,AY971801,1-924,924,no,no
146,Aph6-Ib__536,AGly,Aph-Ib,Aph6-Ib,536,X05648,382-1305,924,no,no
146,Aph9-Ib__537,AGly,Aph-Ib,Aph9-Ib,537,U70376,3618-4541,924,no,no
147,CphA2__538,Bla,CphA2,CphA2,538,NC_000918,673738-674661,924,no,no
148,Aph2''Ic__550,AGly,Aph2''Ic,Aph2''Ic,550,U51479,196-1116,921,no,no
149,ROB-1__551,Bla,ROB-1,ROB-1,551,AF022114,303-1220,918,no,no
150,AER-1__1631,Bla,AER-1,AER-1,1631,U14748,325-1239,915,no,no
151,AIM-1__1630,Bla,AIM-1,AIM-1,1630,AM998375,1173-2084,912,no,no
152,VanY-A__1634,Gly,VanY-A,VanY-A,1634,M97297,9052-9963,912,no,no
152,VanY-Pt__1636,Gly,VanY-A,VanY-Pt,1636,AY926880,5831-6721,891,no,no
152,VanY-Pt2__1635,Gly,VanY-A,VanY-Pt2,1635,DQ018711,6234-7133,900,no,no
153,Ant6-Ia__1633,AGly,Ant6-Ia,Ant6-Ia,1633,X92945,37965-38873,909,no,no
154,MphB__1639,MLS,MphB,MphB,1639,D85892,1159-2067,909,no,no
155,Aph2''Id__1637,AGly,Aph2''I,Aph2''Id,1637,AF016483,131-1036,906,no,no
155,Aph2''Ie__1638,AGly,Aph2''I,Aph2''Ie,1638,AY939911,3536-4441,906,no,no
156,TLA-1__1641,Bla,TLA-1,TLA-1,1641,GU441460,3220-4125,906,no,no
157,Erm42__1640,MLS,Erm42,Erm42,1640,FR734406,1-906,906,no,no
158,MphA__1663,MLS,MphA,MphA,1663,KR091911,890-1795,906,no,no
159,CTX-M-124__1661,Bla,CTX-M-2,CTX-M-124,1661,JQ429324,1-876,876,no,no
159,CTX-M-131__1662,Bla,CTX-M-2,CTX-M-131,1662,JN969893,2534-3406,873,no,no
159,CTX-M-2__1642,Bla,CTX-M-2,CTX-M-2,1642,EF592570,5803-6678,876,no,no
159,CTX-M-20__1647,Bla,CTX-M-2,CTX-M-20,1647,AJ416344,304-1179,876,no,no
159,CTX-M-31__1648,Bla,CTX-M-2,CTX-M-31,1648,AJ567482,1-876,876,no,no
159,CTX-M-35__1649,Bla,CTX-M-2,CTX-M-35,1649,AB176534,1-876,876,no,no
159,CTX-M-4__1643,Bla,CTX-M-2,CTX-M-4,1643,Y14156,1-876,876,no,no
159,CTX-M-43__1650,Bla,CTX-M-2,CTX-M-43,1650,HQ734713,1-876,876,no,no
159,CTX-M-44__1651,Bla,CTX-M-2,CTX-M-44,1651,D37830,91-966,876,no,no
159,CTX-M-5__1644,Bla,CTX-M-2,CTX-M-5,1644,JN003855,132-1007,876,no,no
159,CTX-M-56__1652,Bla,CTX-M-2,CTX-M-56,1652,EF374097,1-876,876,no,no
159,CTX-M-59__1653,Bla,CTX-M-2,CTX-M-59,1653,EU622856,6869-7744,876,no,no
159,CTX-M-6__1645,Bla,CTX-M-2,CTX-M-6,1645,AJ005044,1-876,876,no,no
159,CTX-M-7__1646,Bla,CTX-M-2,CTX-M-7,1646,AJ005045,1-876,876,no,no
159,CTX-M-74__1654,Bla,CTX-M-2,CTX-M-74,1654,GQ149243,1-873,873,no,no
159,CTX-M-75__1655,Bla,CTX-M-2,CTX-M-75,1655,GQ149244,1-873,873,no,no
159,CTX-M-76__1656,Bla,CTX-M-2,CTX-M-76,1656,AM982520,5549-6424,876,no,no
159,CTX-M-77__1657,Bla,CTX-M-2,CTX-M-77,1657,AM982521,1912-2787,876,no,no
159,CTX-M-92__1658,Bla,CTX-M-2,CTX-M-92,1658,GU127598,1-876,876,no,no
159,CTX-M-95__1659,Bla,CTX-M-2,CTX-M-95,1659,FN813245,1912-2787,876,no,no
159,CTX-M-97__1660,Bla,CTX-M-2,CTX-M-97,1660,HM776707,1-876,876,no,no
160,CKO-1__1446,Bla,MAL-CKO,CKO-1,1446,AF477396,1-903,903,no,no
160,MAL-1__1445,Bla,MAL-CKO,MAL-1,1445,AJ277209,12-914,903,no,no
161,CEPA-29__1451,Bla,CEPA-85,CEPA-29,1451,FR688019,1-903,903,no,no
161,CEPA-29__1450,Bla,CEPA-85,CEPA-29,1450,U05884,556-1458,903,no,no
161,CEPA-44__1449,Bla,CEPA-85,CEPA-44,1449,U05885,557-1459,903,no,no
161,CEPA-49__1448,Bla,CEPA-85,CEPA-49,1448,U05886,404-1306,903,no,no
162,Aac3-VIa__1452,AGly,Aac3-VIa,Aac3-VIa,1452,M88012,193-1092,900,no,no
163,Aph2-Ib__1453,AGly,Aph2-Ib,Aph2-Ib,1453,AF207840,122-1021,900,no,no
164,LEN-1__1410,Bla,SHV-OKP-LEN,LEN-1,1410,X04515,286-1125,840,no,no
164,LEN-10__1419,Bla,SHV-OKP-LEN,LEN-10,1419,AJ635419,1-789,789,no,no
164,LEN-11__1420,Bla,SHV-OKP-LEN,LEN-11,1420,AJ635417,1-789,789,no,no
164,LEN-12__1421,Bla,SHV-OKP-LEN,LEN-12,1421,AJ635406,1-789,789,no,no
164,LEN-13__1422,Bla,SHV-OKP-LEN,LEN-13,1422,AJ635403,1-789,789,no,no
164,LEN-15__1424,Bla,SHV-OKP-LEN,LEN-15,1424,AF452105,1-840,840,no,no
164,LEN-16__1425,Bla,SHV-OKP-LEN,LEN-16,1425,AY743416,68-928,861,no,no
164,LEN-17__1426,Bla,SHV-OKP-LEN,LEN-17,1426,DQ149134,1-861,861,no,no
164,LEN-18__1427,Bla,SHV-OKP-LEN,LEN-18,1427,AM850908,1-861,861,no,no
164,LEN-19__1428,Bla,SHV-OKP-LEN,LEN-19,1428,AM850909,1-861,861,no,no
164,LEN-2__1411,Bla,SHV-OKP-LEN,LEN-2,1411,AY037780,89-949,861,no,no
164,LEN-20__1429,Bla,SHV-OKP-LEN,LEN-20,1429,AM850910,1-861,861,no,no
164,LEN-21__1430,Bla,SHV-OKP-LEN,LEN-21,1430,AM850911,1-861,861,no,no
164,LEN-22__1431,Bla,SHV-OKP-LEN,LEN-22,1431,AM850912,1-861,861,no,no
164,LEN-23__1432,Bla,SHV-OKP-LEN,LEN-23,1432,AM850913,1-861,861,no,no
164,LEN-24__1433,Bla,SHV-OKP-LEN,LEN-24,1433,AM850914,1-891,891,no,no
164,LEN-25__1434,Bla,SHV-OKP-LEN,LEN-25,1434,HQ709169,1-861,861,no,no
164,LEN-3__1412,Bla,SHV-OKP-LEN,LEN-3,1412,AY130286,1-823,823,no,no
164,LEN-4__1413,Bla,SHV-OKP-LEN,LEN-4,1413,AY130287,1-823,823,no,no
164,LEN-5__1414,Bla,SHV-OKP-LEN,LEN-5,1414,AY633109,1-861,861,no,no
164,LEN-6__1415,Bla,SHV-OKP-LEN,LEN-6,1415,AY265890,1-472,472,no,no
164,LEN-7__1416,Bla,SHV-OKP-LEN,LEN-7,1416,AJ635425,1-789,789,no,no
164,LEN-8__1417,Bla,SHV-OKP-LEN,LEN-8,1417,AJ635424,1-789,789,no,no
164,LEN-9__1418,Bla,SHV-OKP-LEN,LEN-9,1418,AJ635423,1-789,789,no,no
164,OKP-A-1__1243,Bla,SHV-OKP-LEN,OKP-A-1,1243,AJ635401,1-861,861,no,no
164,OKP-A-10__1252,Bla,SHV-OKP-LEN,OKP-A-10,1252,AM051149,1-861,861,no,no
164,OKP-A-11__1253,Bla,SHV-OKP-LEN,OKP-A-11,1253,AM850915,20-880,861,no,no
164,OKP-A-12__1254,Bla,SHV-OKP-LEN,OKP-A-12,1254,AM850916,19-879,861,no,no
164,OKP-A-13__1255,Bla,SHV-OKP-LEN,OKP-A-13,1255,FJ534513,1-861,861,no,no
164,OKP-A-14__1256,Bla,SHV-OKP-LEN,OKP-A-14,1256,FJ534512,1-861,861,no,no
164,OKP-A-15__1257,Bla,SHV-OKP-LEN,OKP-A-15,1257,FJ755841,1-846,846,no,no
164,OKP-A-16__1258,Bla,SHV-OKP-LEN,OKP-A-16,1258,FJ755840,1-861,861,no,no
164,OKP-A-2__1244,Bla,SHV-OKP-LEN,OKP-A-2,1244,AJ635404,1-861,861,no,no
164,OKP-A-3__1245,Bla,SHV-OKP-LEN,OKP-A-3,1245,AM051140,1-861,861,no,no
164,OKP-A-4__1246,Bla,SHV-OKP-LEN,OKP-A-4,1246,AM051142,1-861,861,no,no
164,OKP-A-5__1247,Bla,SHV-OKP-LEN,OKP-A-5,1247,AM051143,1-861,861,no,no
164,OKP-A-6__1248,Bla,SHV-OKP-LEN,OKP-A-6,1248,AM051144,1-861,861,no,no
164,OKP-A-7__1249,Bla,SHV-OKP-LEN,OKP-A-7,1249,AM051145,1-861,861,no,no
164,OKP-A-8__1250,Bla,SHV-OKP-LEN,OKP-A-8,1250,AM051147,1-861,861,no,no
164,OKP-A-9__1251,Bla,SHV-OKP-LEN,OKP-A-9,1251,AM051148,1-861,861,no,no
164,OKP-B-1__1259,Bla,SHV-OKP-LEN,OKP-B-1,1259,AJ635402,1-861,861,no,no
164,OKP-B-10__1268,Bla,SHV-OKP-LEN,OKP-B-10,1268,AM051160,1-861,861,no,no
164,OKP-B-11__1269,Bla,SHV-OKP-LEN,OKP-B-11,1269,AM051161,1-861,861,no,no
164,OKP-B-12__1270,Bla,SHV-OKP-LEN,OKP-B-12,1270,AJ635420,1-789,789,no,no
164,OKP-B-13__1271,Bla,SHV-OKP-LEN,OKP-B-13,1271,AY825330,1-861,861,no,no
164,OKP-B-14__1272,Bla,SHV-OKP-LEN,OKP-B-14,1272,DQ149136,47-907,861,no,no
164,OKP-B-15__1273,Bla,SHV-OKP-LEN,OKP-B-15,1273,AM850917,18-878,861,no,no
164,OKP-B-16__1274,Bla,SHV-OKP-LEN,OKP-B-16,1274,AM850918,25-885,861,no,no
164,OKP-B-17__1275,Bla,SHV-OKP-LEN,OKP-B-17,1275,AM850919,25-885,861,no,no
164,OKP-B-18__1276,Bla,SHV-OKP-LEN,OKP-B-18,1276,AM850920,41-901,861,no,no
164,OKP-B-19__1277,Bla,SHV-OKP-LEN,OKP-B-19,1277,AM850921,25-885,861,no,no
164,OKP-B-2__1260,Bla,SHV-OKP-LEN,OKP-B-2,1260,AM051151,1-861,861,no,no
164,OKP-B-20__1278,Bla,SHV-OKP-LEN,OKP-B-20,1278,AM850922,25-885,861,no,no
164,OKP-B-3__1261,Bla,SHV-OKP-LEN,OKP-B-3,1261,AM051152,1-861,861,no,no
164,OKP-B-4__1262,Bla,SHV-OKP-LEN,OKP-B-4,1262,AM051153,1-861,861,no,no
164,OKP-B-5__1263,Bla,SHV-OKP-LEN,OKP-B-5,1263,AY512506,68-928,861,no,no
164,OKP-B-6__1264,Bla,SHV-OKP-LEN,OKP-B-6,1264,AY850171,68-928,861,no,no
164,OKP-B-7__1265,Bla,SHV-OKP-LEN,OKP-B-7,1265,AM051156,1-861,861,no,no
164,OKP-B-8__1266,Bla,SHV-OKP-LEN,OKP-B-8,1266,AM051157,1-861,861,no,no
164,OKP-B-9__1267,Bla,SHV-OKP-LEN,OKP-B-9,1267,AM051159,1-861,861,no,no
164,SHV-1__1279,Bla,SHV-OKP-LEN,SHV-1,1279,AF148850,6-867,862,no,no
164,SHV-100__1362,Bla,SHV-OKP-LEN,SHV-100,1362,AM922306,1-900,900,no,no
164,SHV-101__1363,Bla,SHV-OKP-LEN,SHV-101,1363,EU155018,1-861,861,no,no
164,SHV-102__1364,Bla,SHV-OKP-LEN,SHV-102,1364,EU024485,1-861,861,no,no
164,SHV-103__1365,Bla,SHV-OKP-LEN,SHV-103,1365,EU032604,1-861,861,no,no
164,SHV-104__1366,Bla,SHV-OKP-LEN,SHV-104,1366,EU274581,1-861,861,no,no
164,SHV-105__1367,Bla,SHV-OKP-LEN,SHV-105,1367,FJ194944,47-907,861,no,no
164,SHV-106__1368,Bla,SHV-OKP-LEN,SHV-106,1368,AM941847,1-861,861,no,no
164,SHV-107__1369,Bla,SHV-OKP-LEN,SHV-107,1369,AM941848,1-861,861,no,no
164,SHV-108__1370,Bla,SHV-OKP-LEN,SHV-108,1370,AM941849,1-861,861,no,no
164,SHV-109__1371,Bla,SHV-OKP-LEN,SHV-109,1371,EU418913,17-877,861,no,no
164,SHV-11__1287,Bla,SHV-OKP-LEN,SHV-11,1287,HM751098,1-861,861,no,no
164,SHV-110__1372,Bla,SHV-OKP-LEN,SHV-110,1372,HQ877614,1-861,861,no,no
164,SHV-12__1288,Bla,SHV-OKP-LEN,SHV-12,1288,FJ685654,1-861,861,no,no
164,SHV-120__1373,Bla,SHV-OKP-LEN,SHV-120,1373,JF812965,1-861,861,no,no
164,SHV-121__1374,Bla,SHV-OKP-LEN,SHV-121,1374,AB538449,1-861,861,no,no
164,SHV-122__1375,Bla,SHV-OKP-LEN,SHV-122,1375,GQ290211,515-1,515,no,no
164,SHV-128__1376,Bla,SHV-OKP-LEN,SHV-128,1376,GU932590,1-861,861,no,no
164,SHV-13__1289,Bla,SHV-OKP-LEN,SHV-13,1289,AF164577,1-861,861,no,no
164,SHV-132__1378,Bla,SHV-OKP-LEN,SHV-132,1378,GU981741,1654-794,861,no,no
164,SHV-133__1379,Bla,SHV-OKP-LEN,SHV-133,1379,AB551737,15-875,861,no,no
164,SHV-134__1380,Bla,SHV-OKP-LEN,SHV-134,1380,HM559945,1-861,861,no,no
164,SHV-135__1381,Bla,SHV-OKP-LEN,SHV-135,1381,HQ637576,1-861,861,no,no
164,SHV-137__1383,Bla,SHV-OKP-LEN,SHV-137,1383,HQ661363,72-932,861,no,no
164,SHV-14__1290,Bla,SHV-OKP-LEN,SHV-14,1290,AF226622,55-915,861,no,no
164,SHV-140__1384,Bla,SHV-OKP-LEN,SHV-140,1384,JN051143,1-861,861,no,no
164,SHV-141__1385,Bla,SHV-OKP-LEN,SHV-141,1385,JQ388884,1-861,861,no,no
164,SHV-142__1386,Bla,SHV-OKP-LEN,SHV-142,1386,JQ029959,29-889,861,no,no
164,SHV-143__1387,Bla,SHV-OKP-LEN,SHV-143,1387,JQ341060,1742-882,861,no,no
164,SHV-144__1388,Bla,SHV-OKP-LEN,SHV-144,1388,JQ926986,1-861,861,no,no
164,SHV-145__1389,Bla,SHV-OKP-LEN,SHV-145,1389,JX013655,1-861,861,no,no
164,SHV-147__1390,Bla,SHV-OKP-LEN,SHV-147,1390,JX121114,1-858,858,no,no
164,SHV-148__1391,Bla,SHV-OKP-LEN,SHV-148,1391,JX121115,1-858,858,no,no
164,SHV-149__1392,Bla,SHV-OKP-LEN,SHV-149,1392,JX121116,1-858,858,no,no
164,SHV-15__1291,Bla,SHV-OKP-LEN,SHV-15,1291,AJ011428,1-861,861,no,no
164,SHV-150__1393,Bla,SHV-OKP-LEN,SHV-150,1393,JX121117,1-858,858,no,no
164,SHV-151__1394,Bla,SHV-OKP-LEN,SHV-151,1394,JX121118,1-858,858,no,no
164,SHV-152__1395,Bla,SHV-OKP-LEN,SHV-152,1395,JX121119,1-858,858,no,no
164,SHV-153__1396,Bla,SHV-OKP-LEN,SHV-153,1396,JX121120,1-858,858,no,no
164,SHV-154__1397,Bla,SHV-OKP-LEN,SHV-154,1397,JX121121,1-858,858,no,no
164,SHV-155__1398,Bla,SHV-OKP-LEN,SHV-155,1398,JX121122,1-858,858,no,no
164,SHV-156__1399,Bla,SHV-OKP-LEN,SHV-156,1399,JX121123,1-861,861,no,no
164,SHV-157__1400,Bla,SHV-OKP-LEN,SHV-157,1400,JX121124,1-861,861,no,no
164,SHV-158__1401,Bla,SHV-OKP-LEN,SHV-158,1401,JX121125,1-858,858,no,no
164,SHV-159__1402,Bla,SHV-OKP-LEN,SHV-159,1402,JX121126,1-858,858,no,no
164,SHV-16__1292,Bla,SHV-OKP-LEN,SHV-16,1292,AF072684,118-993,876,no,no
164,SHV-160__1403,Bla,SHV-OKP-LEN,SHV-160,1403,JX121127,1-861,861,no,no
164,SHV-161__1404,Bla,SHV-OKP-LEN,SHV-161,1404,JX121128,1-861,861,no,no
164,SHV-162__1405,Bla,SHV-OKP-LEN,SHV-162,1405,JX121129,1-858,858,no,no
164,SHV-163__1406,Bla,SHV-OKP-LEN,SHV-163,1406,JX121130,1-858,858,no,no
164,SHV-165__1407,Bla,SHV-OKP-LEN,SHV-165,1407,JX121131,1-858,858,no,no
164,SHV-167__1408,Bla,SHV-OKP-LEN,SHV-167,1408,AB733453,4-849,846,no,no
164,SHV-168__1409,Bla,SHV-OKP-LEN,SHV-168,1409,JX870080,1-861,861,no,no
164,SHV-18__1293,Bla,SHV-OKP-LEN,SHV-18,1293,EU684753,1-861,861,no,no
164,SHV-2__1280,Bla,SHV-OKP-LEN,SHV-2,1280,AF148851,6-867,862,no,no
164,SHV-24__1294,Bla,SHV-OKP-LEN,SHV-24,1294,AB023477,1-861,861,no,no
164,SHV-25__1295,Bla,SHV-OKP-LEN,SHV-25,1295,AF208796,1-861,861,no,no
164,SHV-26__1296,Bla,SHV-OKP-LEN,SHV-26,1296,AF227204,74-934,861,no,no
164,SHV-27__1297,Bla,SHV-OKP-LEN,SHV-27,1297,FJ685656,1-861,861,no,no
164,SHV-28__1298,Bla,SHV-OKP-LEN,SHV-28,1298,EU441172,57-917,861,no,no
164,SHV-29__1299,Bla,SHV-OKP-LEN,SHV-29,1299,AF301532,8-868,861,no,no
164,SHV-2a__1282,Bla,SHV-OKP-LEN,SHV-2a,1282,X98102,74-934,861,no,no
164,SHV-30__1300,Bla,SHV-OKP-LEN,SHV-30,1300,AY661885,49-909,861,no,no
164,SHV-31__1301,Bla,SHV-OKP-LEN,SHV-31,1301,GU064396,1-861,861,no,no
164,SHV-32__1302,Bla,SHV-OKP-LEN,SHV-32,1302,AY037778,92-952,861,no,no
164,SHV-33__1303,Bla,SHV-OKP-LEN,SHV-33,1303,AY037779,89-949,861,no,no
164,SHV-34__1304,Bla,SHV-OKP-LEN,SHV-34,1304,AY036620,89-949,861,no,no
164,SHV-35__1305,Bla,SHV-OKP-LEN,SHV-35,1305,AY070258,1-861,861,no,no
164,SHV-36__1306,Bla,SHV-OKP-LEN,SHV-36,1306,AF467947,1-861,861,no,no
164,SHV-37__1307,Bla,SHV-OKP-LEN,SHV-37,1307,AF467948,1-861,861,no,no
164,SHV-38__1308,Bla,SHV-OKP-LEN,SHV-38,1308,GQ407124,1-861,861,no,no
164,SHV-39__1309,Bla,SHV-OKP-LEN,SHV-39,1309,AY150585,1-285,285,no,no
164,SHV-40__1310,Bla,SHV-OKP-LEN,SHV-40,1310,AF535128,1-861,861,no,no
164,SHV-41__1311,Bla,SHV-OKP-LEN,SHV-41,1311,AF535129,1-861,861,no,no
164,SHV-42__1312,Bla,SHV-OKP-LEN,SHV-42,1312,AF535130,1-861,861,no,no
164,SHV-43__1313,Bla,SHV-OKP-LEN,SHV-43,1313,AY065991,7-867,861,no,no
164,SHV-44__1314,Bla,SHV-OKP-LEN,SHV-44,1314,AY259119,117-977,861,no,no
164,SHV-45__1315,Bla,SHV-OKP-LEN,SHV-45,1315,HQ877612,1-715,715,no,no
164,SHV-46__1316,Bla,SHV-OKP-LEN,SHV-46,1316,AY210887,112-972,861,no,no
164,SHV-48__1317,Bla,SHV-OKP-LEN,SHV-48,1317,AY263404,1-861,861,no,no
164,SHV-49__1318,Bla,SHV-OKP-LEN,SHV-49,1318,AY528718,414-1274,861,no,no
164,SHV-5__1283,Bla,SHV-OKP-LEN,SHV-5,1283,X55640,112-972,861,no,no
164,SHV-50__1319,Bla,SHV-OKP-LEN,SHV-50,1319,AY288915,1-861,861,no,no
164,SHV-51__1320,Bla,SHV-OKP-LEN,SHV-51,1320,AY289548,1-861,861,no,no
164,SHV-52__1321,Bla,SHV-OKP-LEN,SHV-52,1321,HQ845196,1-861,861,no,no
164,SHV-53__1322,Bla,SHV-OKP-LEN,SHV-53,1322,AY590467,1-729,729,no,no
164,SHV-55__1323,Bla,SHV-OKP-LEN,SHV-55,1323,HQ877613,1-715,715,no,no
164,SHV-56__1324,Bla,SHV-OKP-LEN,SHV-56,1324,AY352599,1-861,861,no,no
164,SHV-57__1325,Bla,SHV-OKP-LEN,SHV-57,1325,AY223863,171-1031,861,no,no
164,SHV-59__1326,Bla,SHV-OKP-LEN,SHV-59,1326,AY790341,1-861,861,no,no
164,SHV-6__1284,Bla,SHV-OKP-LEN,SHV-6,1284,Y11069,1-780,780,no,no
164,SHV-60__1327,Bla,SHV-OKP-LEN,SHV-60,1327,AJ866283,1-861,861,no,no
164,SHV-61__1328,Bla,SHV-OKP-LEN,SHV-61,1328,AJ866284,1-861,861,no,no
164,SHV-62__1329,Bla,SHV-OKP-LEN,SHV-62,1329,AJ866285,1-837,837,no,no
164,SHV-63__1330,Bla,SHV-OKP-LEN,SHV-63,1330,EU342351,173-1033,861,no,no
164,SHV-64__1331,Bla,SHV-OKP-LEN,SHV-64,1331,DQ174304,5-865,861,no,no
164,SHV-65__1332,Bla,SHV-OKP-LEN,SHV-65,1332,DQ174305,5-865,861,no,no
164,SHV-66__1333,Bla,SHV-OKP-LEN,SHV-66,1333,DQ174306,5-865,861,no,no
164,SHV-67__1334,Bla,SHV-OKP-LEN,SHV-67,1334,DQ174307,5-865,861,no,no
164,SHV-69__1335,Bla,SHV-OKP-LEN,SHV-69,1335,DQ174308,5-865,861,no,no
164,SHV-7__1285,Bla,SHV-OKP-LEN,SHV-7,1285,U20270,125-985,861,no,no
164,SHV-70__1336,Bla,SHV-OKP-LEN,SHV-70,1336,DQ013287,1-861,861,no,no
164,SHV-71__1337,Bla,SHV-OKP-LEN,SHV-71,1337,AM176546,1-861,861,no,no
164,SHV-72__1338,Bla,SHV-OKP-LEN,SHV-72,1338,AM176547,31-891,861,no,no
164,SHV-73__1339,Bla,SHV-OKP-LEN,SHV-73,1339,AM176548,17-874,858,no,no
164,SHV-74__1340,Bla,SHV-OKP-LEN,SHV-74,1340,AM176549,31-891,861,no,no
164,SHV-75__1341,Bla,SHV-OKP-LEN,SHV-75,1341,AM176550,31-891,861,no,no
164,SHV-76__1342,Bla,SHV-OKP-LEN,SHV-76,1342,AM176551,31-891,861,no,no
164,SHV-77__1343,Bla,SHV-OKP-LEN,SHV-77,1343,AM176552,31-891,861,no,no
164,SHV-78__1344,Bla,SHV-OKP-LEN,SHV-78,1344,FJ685658,1-861,861,no,no
164,SHV-79__1345,Bla,SHV-OKP-LEN,SHV-79,1345,AM176554,31-891,861,no,no
164,SHV-8__1286,Bla,SHV-OKP-LEN,SHV-8,1286,U92041,1-861,861,no,no
164,SHV-80__1346,Bla,SHV-OKP-LEN,SHV-80,1346,AM176555,1-861,861,no,no
164,SHV-81__1347,Bla,SHV-OKP-LEN,SHV-81,1347,AM176556,26-886,861,no,no
164,SHV-82__1348,Bla,SHV-OKP-LEN,SHV-82,1348,AM176557,1-861,861,no,no
164,SHV-84__1350,Bla,SHV-OKP-LEN,SHV-84,1350,AM087453,26-856,831,no,no
164,SHV-85__1351,Bla,SHV-OKP-LEN,SHV-85,1351,DQ322460,16-876,861,no,no
164,SHV-86__1352,Bla,SHV-OKP-LEN,SHV-86,1352,DQ328802,1-861,861,no,no
164,SHV-89__1353,Bla,SHV-OKP-LEN,SHV-89,1353,DQ193536,1-861,861,no,no
164,SHV-92__1354,Bla,SHV-OKP-LEN,SHV-92,1354,DQ836922,1-861,861,no,no
164,SHV-93__1355,Bla,SHV-OKP-LEN,SHV-93,1355,EF373969,1-861,861,no,no
164,SHV-94__1356,Bla,SHV-OKP-LEN,SHV-94,1356,EF373970,1-861,861,no,no
164,SHV-95__1357,Bla,SHV-OKP-LEN,SHV-95,1357,EF373972,1-861,861,no,no
164,SHV-96__1358,Bla,SHV-OKP-LEN,SHV-96,1358,EF373971,1-861,861,no,no
164,SHV-97__1359,Bla,SHV-OKP-LEN,SHV-97,1359,EF373973,1-861,861,no,no
164,SHV-98__1360,Bla,SHV-OKP-LEN,SHV-98,1360,AM922304,1-861,861,no,no
164,SHV-99__1361,Bla,SHV-OKP-LEN,SHV-99,1361,AM922305,1-861,861,no,no
164,SHV2A-kp__1281,Bla,SHV-OKP-LEN,SHV2A-kp,1281,X62115,1281-2141,861,no,no
165,VEB-1__1435,Bla,VEB-1,VEB-1,1435,NC_010410,3661636-3660737,900,no,no
165,VEB-2__1436,Bla,VEB-1,VEB-2,1436,AY027870,47-946,900,no,no
165,VEB-3__1437,Bla,VEB-1,VEB-3,1437,AY536519,38-937,900,no,no
165,VEB-4__1438,Bla,VEB-1,VEB-4,1438,EF136375,1-900,900,no,no
165,VEB-5__1439,Bla,VEB-1,VEB-5,1439,EF420108,38-937,900,no,no
165,VEB-6__1440,Bla,VEB-1,VEB-6,1440,EU259884,7311-6412,900,no,no
165,VEB-7__1441,Bla,VEB-1,VEB-7,1441,FJ825622,1-900,900,no,no
165,VEB-8__1442,Bla,VEB-1,VEB-8,1442,JX679208,1-900,900,no,no
166,ErmH__1443,MLS,ErmH,ErmH,1443,M16503,244-1143,900,no,no
167,MphC__1444,MLS,MphC,MphC,1444,AF167161,5665-6564,900,no,no
168,VgbA__1241,MLS,VgbA,VgbA,1241,AF117258,3768-2869,900,no,no
169,HugA__1242,Bla,HugA2,HugA,1242,AF324468,1221-2117,897,no,no
170,CARB-10__783,Bla,CARB-5,CARB-10,783,EU850412,2270-3166,897,no,no
170,CARB-5__782,Bla,CARB-5,CARB-5,782,AF135373,12-908,897,no,no
171,FAR-1__781,Bla,FAR-1,FAR-1,781,AF024601,303-1196,894,no,no
172,Lut-1__780,Bla,Lut-1,Lut-1,780,AY695112,1-891,891,no,no
