unique_ID,ResFinderDBname,gene,allele,accession,cluster90%,cluster_contains_multiple_genes,gene_found_in_multiple_clusters,final_gene
721,cfr_1_AJ579365,cfr,1,AJ579365,132,no,no,cfr
720,cfr_1_AM408573,cfr,1,AM408573,132,no,no,cfr
719,VanA-G_1_AY271782,VanA-G,1,AY271782,133,no,no,VanA-G
730,VanA-L_1_EU250284,VanA-L,1,EU250284,134,no,no,VanA-L
728,VanH-Ao1_8_AF060799,VanH-Ao,8,AF060799,135,no,no,VanH-Ao
729,VanH-Ao2_9_HQ679900,VanH-Ao,9,HQ679900,135,no,no,VanH-Ao
727,VanA-Ao2_6_HQ679900,VanA-Ao,6,HQ679900,136,no,no,VanA-Ao
726,VanA-Sc_2_AL939117,VanA-Sc,2,AL939117,137,no,no,VanA-Sc
735,VanA-A_1_FJ866609,VanA-A,1,FJ866609,138,no,no,VanA-A
736,VanA-A_2_M97297,VanA-A,2,M97297,138,no,no,VanA-A
733,VanA-C_1_AF162694,VanA-C,1,AF162694,139,no,yes,VanA-C
734,VanA-C_2_DQ022190,VanA-C,2,DQ022190,139,no,yes,VanA-C
706,VanA-D_1_AB242319,VanA-D,1,AB242319,140,no,yes,VanA-D
707,VanA-D_3_AY082011,VanA-D,3,AY082011,140,no,yes,VanA-D
708,VanA-D_2_AF175293,VanA-D,2,AF175293,141,no,yes,VanA-D
703,VanA-D_4_AY489045,VanA-D,4,AY489045,142,no,yes,VanA-D
704,VanA-E_1_AF155139,VanA-E,1,AF155139,143,yes,no,VanA-E
705,VanAE-Pp_2_AF155139,VanAE-Pp,2,AF155139,143,yes,no,VanA-E
700,VanA-M_1_FJ349556,VanA-M,1,FJ349556,144,no,no,VanA-M
701,VanA-Pt_3_DQ018710,VanA-Pt,3,DQ018710,145,no,yes,VanA-Pt
702,VanA-Pt2_4_AY926880,VanA-Pt,4,AY926880,145,no,yes,VanA-Pt
698,VanA-Pt_5_DQ018711,VanA-Pt,5,DQ018711,146,no,yes,VanA-Pt
699,VanH-A(Bc)_7_Y15704,VanH-A(Bc),7,Y15704,147,no,no,VanH-A(Bc)
715,VanA-B_1_AF192329,VanA-B,1,AF192329,148,no,no,VanA-B
716,aph(4)-Ia_1_V01499,aph(4)-Ia,1,V01499,149,no,no,aph(4)-Ia
1917,erm(R)_2_AY623658,erm(R),2,AY623658,150,no,no,erm(R)
1916,VanH-Sc_1_AL939117,VanH-Sc,1,AL939117,151,no,no,VanH-Sc
1919,blaZEG-1_1_AY265891,blaZEG,1,AY265891,152,no,no,blaZEG
1918,erm(30)_1_AF079138,erm(30),1,AF079138,153,no,no,erm(30)
1921,aac(3)-Ib-aac(6')-Ib_1_AF355189,aac(3)-Ib-aac(6')-Ib,1,AF355189,154,no,no,aac(3)-Ib-aac(6')-Ib
1920,aph(4)-Ib_1_X03615,aph(4)-Ib,1,X03615,155,no,no,aph(4)-Ib
1923,aph(9)-Ia_1_U94857,aph(9)-Ia,1,U94857,156,no,no,aph(9)-Ia
1922,aph(9)-Ib_1_U70376,aph(9)-Ib,1,U70376,157,no,no,aph(9)-Ib
1925,VanTm-L_1_EU250284,VanTm-L,1,EU250284,158,no,no,VanTm-L
1924,VanH-M_1_FJ349556,VanH-M,1,FJ349556,159,no,no,VanH-M
1625,ole(C)_1_L06249,ole(C),1,L06249,160,no,no,ole(C)
1626,blaDES-1_1_AF426161,blaDES,1,AF426161,161,no,no,blaDES
1627,aadA1_1_X02340,aadA,1,X02340,162,no,yes,aadA
1628,aadA1_2_FJ591054,aadA,2,FJ591054,162,no,yes,aadA
1636,aadA1_2_JN815078,aadA,2,JN815078,162,no,yes,aadA
1629,aadA1_3_JQ414041,aadA,3,JQ414041,162,no,yes,aadA
1630,aadA1_4_M95287,aadA,4,M95287,162,no,yes,aadA
1631,aadA1_5_JQ480156,aadA,5,JQ480156,162,no,yes,aadA
1632,aadA15_1_DQ393783,aadA,1,DQ393783,162,no,yes,aadA
1633,aadA21_1_AY171244,aadA,1,AY171244,162,no,yes,aadA
1634,aadA22_1_AM261837,aadA,1,AM261837,162,no,yes,aadA
1635,aadA23_1_AJ809407,aadA,1,AJ809407,162,no,yes,aadA
1637,VanH-B_1_AF192329,VanH-B,1,AF192329,163,no,no,VanH-B
1620,VanH-D_1_AB242319,VanH-D,1,AB242319,164,no,yes,VanH-D
1621,VanH-D_3_AY082011,VanH-D,3,AY082011,164,no,yes,VanH-D
1622,VanH-D_2_AF175293,VanH-D,2,AF175293,165,no,yes,VanH-D
1623,VanH-D_4_AY489045,VanH-D,4,AY489045,166,no,yes,VanH-D
1624,erm(31)_1_AF079138,erm(31),1,AF079138,167,no,no,erm(31)
1616,VanH-A_1_FJ866609,VanH-A,1,FJ866609,168,no,no,VanH-A
1617,VanH-A_2_M97297,VanH-A,2,M97297,168,no,no,VanH-A
1618,VanH-E_1_AF155139,VanH-E,1,AF155139,169,yes,no,VanH-E
1619,VanHE-Pp_2_AF155139,VanHE-Pp,2,AF155139,169,yes,no,VanH-E
1039,VanH-Pt_3_DQ018710,VanH-Pt,3,DQ018710,170,no,yes,VanH-Pt
1038,VanH-Pt2_4_AY926880,VanH-Pt,4,AY926880,171,no,yes,VanH-Pt
1037,VanH-Pt_5_DQ018711,VanH-Pt,5,DQ018711,172,no,yes,VanH-Pt
1031,cfxA_1_AF504914,cfxA,1,AF504914,173,no,no,cfxA
1028,cfxA_1_U38243,cfxA,1,U38243,173,no,no,cfxA
1029,cfxA_2_AY769933,cfxA,2,AY769933,173,no,no,cfxA
1030,cfxA_3_AY769934,cfxA,3,AY769934,173,no,no,cfxA
1034,cfxA2_1_AF504914,cfxA,1,AF504914,173,no,no,cfxA
1035,cfxA3_1_AY860640,cfxA,1,AY860640,173,no,no,cfxA
1032,cfxA4_1_AY769933,cfxA,1,AY769933,173,no,no,cfxA
1033,cfxA5_1_AY769934,cfxA,1,AY769934,173,no,no,cfxA
1036,cfxA6_1_FN376426,cfxA,1,FN376426,173,no,no,cfxA
1027,erm(S)_1_M19269,erm(S),1,M19269,174,no,no,erm(S)
1026,blaTLA-1_1_AF148067,blaTLA,1,AF148067,175,no,no,blaTLA
1025,erm(W)_1_D14532,erm(W),1,D14532,176,no,no,erm(W)
1024,blaAST-1_1_AF279904,blaAST,1,AF279904,177,no,no,blaAST
1023,blaPME-1_1_HQ541434,blaPME,1,HQ541434,178,no,no,blaPME
1022,blaSFC-1_1_AY354402,blaSFC,1,AY354402,179,no,no,blaSFC
1076,blaPER-1_1_GU944725,blaPER,1,GU944725,180,no,yes,blaPER
1077,blaPER-3_1_AY740681,blaPER,1,AY740681,180,no,yes,blaPER
1078,blaPER-4_1_EU748544,blaPER,1,EU748544,180,no,yes,blaPER
1079,blaPER-5_1_FJ627180,blaPER,1,FJ627180,180,no,yes,blaPER
1080,blaPER-7_1_HQ713678,blaPER,1,HQ713678,180,no,yes,blaPER
1081,blaPER-2_1_X93314,blaPER,1,X93314,181,no,yes,blaPER
1042,blaPER-6_1_GQ396303,blaPER,1,GQ396303,182,no,yes,blaPER
1043,sul1_1_AY224185,sul,1,AY224185,183,no,yes,sul
1052,sul1_10_DQ143913,sul,10,DQ143913,183,no,yes,sul
1053,sul1_14_AJ517791,sul,14,AJ517791,183,no,yes,sul
1054,sul1_15_EF667294,sul,15,EF667294,183,no,yes,sul
1055,sul1_16_EF667294,sul,16,EF667294,183,no,yes,sul
1056,sul1_17_AM746675,sul,17,AM746675,183,no,yes,sul
1057,sul1_18_AY260546,sul,18,AY260546,183,no,yes,sul
1058,sul1_19_DQ125241,sul,19,DQ125241,183,no,yes,sul
1044,sul1_2_CP002151,sul,2,CP002151,183,no,yes,sul
1059,sul1_20_JF262165,sul,20,JF262165,183,no,yes,sul
1060,sul1_21_AJ971344,sul,21,AJ971344,183,no,yes,sul
1061,sul1_22_AY115475,sul,22,AY115475,183,no,yes,sul
1062,sul1_23_AJ621187,sul,23,AJ621187,183,no,yes,sul
1063,sul1_24_EU117158,sul,24,EU117158,183,no,yes,sul
1064,sul1_25_AY878717,sul,25,AY878717,183,no,yes,sul
1065,sul1_26_AY524415,sul,26,AY524415,183,no,yes,sul
1066,sul1_27_GU562437,sul,27,GU562437,183,no,yes,sul
1067,sul1_28_JN790946,sul,28,JN790946,183,no,yes,sul
1068,sul1_29_AJ746361,sul,29,AJ746361,183,no,yes,sul
1045,sul1_3_EU855787,sul,3,EU855787,183,no,yes,sul
1069,sul1_30_JF262178,sul,30,JF262178,183,no,yes,sul
1070,sul1_31_AM040449,sul,31,AM040449,183,no,yes,sul
1071,sul1_32_EF592571,sul,32,EF592571,183,no,yes,sul
1072,sul1_33_AJ564903,sul,33,AJ564903,183,no,yes,sul
1046,sul1_4_HQ713678,sul,4,HQ713678,183,no,yes,sul
1047,sul1_5_EU780013,sul,5,EU780013,183,no,yes,sul
1048,sul1_6_EU855787,sul,6,EU855787,183,no,yes,sul
1049,sul1_7_FJ715937,sul,7,FJ715937,183,no,yes,sul
1050,sul1_8_JN581942,sul,8,JN581942,183,no,yes,sul
1051,sul1_9_AY963803,sul,9,AY963803,183,no,yes,sul
1073,sul3_3_AY047357,sul,3,AY047357,183,no,yes,sul
1074,sul3_5_AB281182,sul,5,AB281182,183,no,yes,sul
1075,sul3_6_AB281183,sul,6,AB281183,183,no,yes,sul
1085,aph(6)-Ia_1_AY971801,aph(6)-Ia,1,AY971801,184,no,no,aph(6)-Ia
1086,aph(6)-Ib_1_X05648,aph(6)-Ib,1,X05648,185,no,no,aph(6)-Ib
1082,aph(2'')-Ic_1_U51479,aph(2'')-Ic,1,U51479,186,no,no,aph(2'')-Ic
1083,mph(A)_1_D16251,mph(A),1,D16251,187,no,no,mph(A)
1084,mph(A)_2_U36578,mph(A),2,U36578,187,no,no,mph(A)
1088,blaROB-1_1_DQ840517,blaROB,1,DQ840517,188,no,no,blaROB
1089,blaROB-1_2_AF022114,blaROB,2,AF022114,188,no,no,blaROB
1090,blaROB-1_3_DQ845807,blaROB,3,DQ845807,188,no,no,blaROB
1091,blaCARB-1_1_AF313471,blaCARB,1,AF313471,189,no,yes,blaCARB
1095,blaCARB-11_1_AY008290,blaCARB,1,AY008290,189,no,yes,blaCARB
1092,blaCARB-2_1_M69058,blaCARB,1,M69058,189,no,yes,blaCARB
1093,blaCARB-2_2_M69058,blaCARB,2,M69058,189,no,yes,blaCARB
1094,blaCARB-3_1_S46063,blaCARB,1,S46063,189,no,yes,blaCARB
160,blaAER-1_1_U14748,blaAER,1,U14748,190,no,no,blaAER
158,erm(42)_1_FR734406,erm(42),1,FR734406,191,no,no,erm(42)
159,erm(42)_2_AB601890,erm(42),2,AB601890,191,no,no,erm(42)
162,VanY-A_1_FJ866609,VanY-A,1,FJ866609,192,no,no,VanY-A
163,VanY-A_2_M97297,VanY-A,2,M97297,192,no,no,VanY-A
161,ant(6)-Ia_1_AF330699,ant(6)-Ia,1,AF330699,193,no,no,ant(6)-Ia
147,mph(B)_1_D85892,mph(B),1,D85892,194,no,no,mph(B)
146,cml_1_M22614,cml,1,M22614,195,no,no,cml
156,aph(2'')-Id_1_AF016483,aph(2'')-Id,1,AF016483,196,yes,no,aph(2'')-I
157,aph(2'')-Ie_1_AY743255,aph(2'')-Ie,1,AY743255,196,yes,no,aph(2'')-I
148,blaCEPA_1_L13472,blaCEPA,1,L13472,197,no,no,blaCEPA
149,blaCEPA_1_U05887,blaCEPA,1,U05887,197,no,no,blaCEPA
150,blaCEPA_5_FR688023,blaCEPA,5,FR688023,197,no,no,blaCEPA
151,blaCEPA_6_FR688022,blaCEPA,6,FR688022,197,no,no,blaCEPA
155,blaCEPA-29_1_U05884,blaCEPA,1,U05884,197,no,no,blaCEPA
154,blaCEPA-44_1_U05885,blaCEPA,1,U05885,197,no,no,blaCEPA
153,blaCEPA-49_1_U05886,blaCEPA,1,U05886,197,no,no,blaCEPA
152,blaCEPA-85_1_U05887,blaCEPA,1,U05887,197,no,no,blaCEPA
143,blaCKO-1_1_AF477396,blaCKO,1,AF477396,198,yes,no,blaMAL
141,blaMAL-1_1_AJ277209,blaMAL,1,AJ277209,198,yes,no,blaMAL
142,blaMAL-1_2_AJ609506,blaMAL,2,AJ609506,198,yes,no,blaMAL
140,aac(3)-VIa_1_M88012,aac(3)-VIa,1,M88012,199,no,no,aac(3)-VIa
1148,aph(2'')-Ib_1_AF337947,aph(2'')-Ib,1,AF337947,200,no,no,aph(2'')-Ib
1146,blaSHV-100_1_AM941846,blaSHV,1,AM941846,201,no,yes,blaSHV
1147,blaSHV-39_1_AY150585,blaSHV,1,AY150585,201,no,yes,blaSHV
1186,blaVEB-1_1_HM370393,blaVEB,1,HM370393,202,no,no,blaVEB
1187,blaVEB-1_2_GU056840,blaVEB,2,GU056840,202,no,no,blaVEB
1189,blaVEB-1_3_DQ393569,blaVEB,3,DQ393569,202,no,no,blaVEB
1190,blaVEB-1_4_AF324834,blaVEB,4,AF324834,202,no,no,blaVEB
1185,blaVEB-2_1_AY027870,blaVEB,1,AY027870,202,no,no,blaVEB
1188,blaVEB-3_1_AY536519,blaVEB,1,AY536519,202,no,no,blaVEB
1191,blaVEB-4_1_EF136375,blaVEB,1,EF136375,202,no,no,blaVEB
1192,blaVEB-5_1_EF420108,blaVEB,1,EF420108,202,no,no,blaVEB
1193,blaVEB-6_1_EU259884,blaVEB,1,EU259884,202,no,no,blaVEB
1194,blaVEB-7_1_FJ825622,blaVEB,1,FJ825622,202,no,no,blaVEB
1149,blaOKP-A-1_1_AM051138,blaOKP-A,1,AM051138,203,yes,no,blaOKP
1150,blaOKP-A-10_1_AM051149,blaOKP-A,1,AM051149,203,yes,no,blaOKP
1151,blaOKP-A-11_1_AM850915,blaOKP-A,1,AM850915,203,yes,no,blaOKP
1152,blaOKP-A-12_1_AM850915,blaOKP-A,1,AM850915,203,yes,no,blaOKP
1153,blaOKP-A-13_1_FJ534513,blaOKP-A,1,FJ534513,203,yes,no,blaOKP
1154,blaOKP-A-14_1_FJ534512,blaOKP-A,1,FJ534512,203,yes,no,blaOKP
1155,blaOKP-A-15_1_FJ755841,blaOKP-A,1,FJ755841,203,yes,no,blaOKP
1156,blaOKP-A-16_1_FJ755840,blaOKP-A,1,FJ755840,203,yes,no,blaOKP
1157,blaOKP-A-2_1_AM051139,blaOKP-A,1,AM051139,203,yes,no,blaOKP
1158,blaOKP-A-3_1_AM051140,blaOKP-A,1,AM051140,203,yes,no,blaOKP
1159,blaOKP-A-4_1_AM051142,blaOKP-A,1,AM051142,203,yes,no,blaOKP
1160,blaOKP-A-5_1_AM051143,blaOKP-A,1,AM051143,203,yes,no,blaOKP
1161,blaOKP-A-6_1_AM051144,blaOKP-A,1,AM051144,203,yes,no,blaOKP
1162,blaOKP-A-7_1_AM051145,blaOKP-A,1,AM051145,203,yes,no,blaOKP
1163,blaOKP-A-8_1_AM051147,blaOKP-A,1,AM051147,203,yes,no,blaOKP
1164,blaOKP-A-9_1_AM051148,blaOKP-A,1,AM051148,203,yes,no,blaOKP
1165,blaOKP-B-1_1_AM051150,blaOKP-B,1,AM051150,203,yes,no,blaOKP
1166,blaOKP-B-10_1_AM051160,blaOKP-B,1,AM051160,203,yes,no,blaOKP
1167,blaOKP-B-11_1_AM051161,blaOKP-B,1,AM051161,203,yes,no,blaOKP
1168,blaOKP-B-12_1_AJ635420,blaOKP-B,1,AJ635420,203,yes,no,blaOKP
1169,blaOKP-B-13_1_AY825330,blaOKP-B,1,AY825330,203,yes,no,blaOKP
1170,blaOKP-B-14_1_DQ995288,blaOKP-B,1,DQ995288,203,yes,no,blaOKP
1171,blaOKP-B-15_1_AM850917,blaOKP-B,1,AM850917,203,yes,no,blaOKP
1172,blaOKP-B-16_1_AM850918,blaOKP-B,1,AM850918,203,yes,no,blaOKP
1173,blaOKP-B-17_1_AM850919,blaOKP-B,1,AM850919,203,yes,no,blaOKP
1174,blaOKP-B-18_1_AM850920,blaOKP-B,1,AM850920,203,yes,no,blaOKP
1175,blaOKP-B-19_1_AM850921,blaOKP-B,1,AM850921,203,yes,no,blaOKP
1176,blaOKP-B-2_1_AM051151,blaOKP-B,1,AM051151,203,yes,no,blaOKP
1177,blaOKP-B-20_1_AM850922,blaOKP-B,1,AM850922,203,yes,no,blaOKP
1178,blaOKP-B-3_1_AM051152,blaOKP-B,1,AM051152,203,yes,no,blaOKP
1179,blaOKP-B-4_1_AM051153,blaOKP-B,1,AM051153,203,yes,no,blaOKP
1180,blaOKP-B-5_1_AY512506,blaOKP-B,1,AY512506,203,yes,no,blaOKP
1181,blaOKP-B-6_1_AY850171,blaOKP-B,1,AY850171,203,yes,no,blaOKP
1182,blaOKP-B-7_1_AM051156,blaOKP-B,1,AM051156,203,yes,no,blaOKP
1183,blaOKP-B-8_1_AM051157,blaOKP-B,1,AM051157,203,yes,no,blaOKP
1184,blaOKP-B-9_1_AM051159,blaOKP-B,1,AM051159,203,yes,no,blaOKP
1196,erm(H)_1_M16503,erm(H),1,M16503,204,no,no,erm(H)
1195,vgb(A)_1_M20129,vgb(A),1,M20129,205,no,no,vgb(A)
1198,mph(C)_1_AB013298,mph(C),1,AB013298,206,no,no,mph(C)
1199,mph(C)_2_AF167161,mph(C),2,AF167161,206,no,no,mph(C)
1197,VanY-Pt_5_DQ018711,VanY-Pt,5,DQ018711,207,no,yes,VanY-Pt
1203,blaCARB-10_1_EU850412,blaCARB,1,EU850412,208,no,yes,blaCARB
1201,blaCARB-5_1_AF135373,blaCARB,1,AF135373,208,no,yes,blaCARB
1202,blaCARB-8_1_AY178993,blaCARB,1,AY178993,208,no,yes,blaCARB
1200,hugA_1_AF324468,hugA,1,AF324468,209,no,no,hugA
1681,blaFAR-1_1_AF024601,blaFAR,1,AF024601,210,no,no,blaFAR
1691,blaLEN1_1_X04515,blaLEN,1,X04515,211,no,no,blaLEN
1682,blaLEN10_1_AJ635419,blaLEN,1,AJ635419,211,no,no,blaLEN
1683,blaLEN11_1_AJ635417,blaLEN,1,AJ635417,211,no,no,blaLEN
1684,blaLEN12_1_AJ635406,blaLEN,1,AJ635406,211,no,no,blaLEN
1685,blaLEN13_1_AJ635403,blaLEN,1,AJ635403,211,no,no,blaLEN
1686,blaLEN14_1_AY265889,blaLEN,1,AY265889,211,no,no,blaLEN
1687,blaLEN15_1_AF452105,blaLEN,1,AF452105,211,no,no,blaLEN
1688,blaLEN16_1_AY743416,blaLEN,1,AY743416,211,no,no,blaLEN
1689,blaLEN18_1_AM850908,blaLEN,1,AM850908,211,no,no,blaLEN
1690,blaLEN19_1_AM850909,blaLEN,1,AM850909,211,no,no,blaLEN
1698,blaLEN2_1_AY037780,blaLEN,1,AY037780,211,no,no,blaLEN
1692,blaLEN20_1_AM850910,blaLEN,1,AM850910,211,no,no,blaLEN
1693,blaLEN21_1_AM850911,blaLEN,1,AM850911,211,no,no,blaLEN
1694,blaLEN22_1_AM850912,blaLEN,1,AM850912,211,no,no,blaLEN
1695,blaLEN23_1_AM850913,blaLEN,1,AM850913,211,no,no,blaLEN
1696,blaLEN24_1_AM850914,blaLEN,1,AM850914,211,no,no,blaLEN
1697,blaLEN25_1_HQ709169,blaLEN,1,HQ709169,211,no,no,blaLEN
1699,blaLEN3_1_AY130286,blaLEN,1,AY130286,211,no,no,blaLEN
1700,blaLEN4_1_AY130287,blaLEN,1,AY130287,211,no,no,blaLEN
1701,blaLEN5_1_AY633109,blaLEN,1,AY633109,211,no,no,blaLEN
1702,blaLEN6_1_AY265890,blaLEN,1,AY265890,211,no,no,blaLEN
1703,blaLEN7_1_AJ635425,blaLEN,1,AJ635425,211,no,no,blaLEN
1704,blaLEN8_1_AJ635424,blaLEN,1,AJ635424,211,no,no,blaLEN
1705,blaLEN9_1_AJ635405,blaLEN,1,AJ635405,211,no,no,blaLEN
1678,blaLUT-1_1_AY695112,blaLUT,1,AY695112,212,no,no,blaLUT
1679,VanY-Pt_3_DQ018710,VanY-Pt,3,DQ018710,213,no,yes,VanY-Pt
1680,VanY-Pt2_4_AY926880,VanY-Pt,4,AY926880,213,no,yes,VanY-Pt
1674,blaFONA-1_1_AJ251239,blaFONA,1,AJ251239,214,no,no,blaFONA
1673,blaFONA-2_1_AJ251240,blaFONA,1,AJ251240,214,no,no,blaFONA
1672,blaFONA-3_1_AJ251241,blaFONA,1,AJ251241,214,no,no,blaFONA
1671,blaFONA-4_1_AJ251242,blaFONA,1,AJ251242,214,no,no,blaFONA
1670,blaFONA-5_1_AJ251243,blaFONA,1,AJ251243,214,no,no,blaFONA
1669,blaFONA-6_1_AJ251244,blaFONA,1,AJ251244,214,no,no,blaFONA
1675,blaRAHN-1_1_GU645205,blaRAHN,1,GU645205,215,no,yes,blaRAHN
1676,blaRAHN-1_4_GU584924,blaRAHN,4,GU584924,215,no,yes,blaRAHN
1677,blaRAHN-1_5_AF338038,blaRAHN,5,AF338038,215,no,yes,blaRAHN
1663,blaRAHN-2_2_HM114350,blaRAHN,2,HM114350,216,no,yes,blaRAHN
1664,blaRAHN-2_3_GU584926,blaRAHN,3,GU584926,216,no,yes,blaRAHN
1665,blaRAHN-2_4_GU584922,blaRAHN,4,GU584922,216,no,yes,blaRAHN
1666,blaRAHN-2_5_GU584920,blaRAHN,5,GU584920,216,no,yes,blaRAHN
1667,blaRAHN-2_6_GU584918,blaRAHN,6,GU584918,216,no,yes,blaRAHN
1668,blaSFO-1_1_AB003148,blaSFO,1,AB003148,217,no,no,blaSFO
1706,blaCME-1_1_AJ006275,blaCME,1,AJ006275,218,no,no,blaCME
1707,blaSED1_1_AF321608,blaSED,1,AF321608,219,no,no,blaSED
1913,vgb(B)_1_AF015628,vgb(B),1,AF015628,220,no,no,vgb(B)
1910,blaSME-1_1_Z28968,blaSME,1,Z28968,221,no,no,blaSME
1911,blaSME-2_1_AF275256,blaSME,1,AF275256,221,no,no,blaSME
1912,blaSME-3_1_AY584237,blaSME,1,AY584237,221,no,no,blaSME
1907,blaA_1_DQ424965,blaA,1,DQ424965,222,no,no,blaA
1908,blaA_2_AY954728,blaA,2,AY954728,222,no,no,blaA
1909,blaA_4_DQ424966,blaA,4,DQ424966,222,no,no,blaA
1906,blaBIC-1_1_GQ260093,blaBIC,1,GQ260093,223,no,no,blaBIC
1904,mph(E)_3_EU294228,mph(E),3,EU294228,224,no,no,mph(E)
1905,mph(E)_5_DQ839391,mph(E),5,DQ839391,224,no,no,mph(E)
1895,blaKPC-1_1_AF297554,blaKPC,1,AF297554,225,no,no,blaKPC
1902,blaKPC-10_1_GQ140348,blaKPC,1,GQ140348,225,no,no,blaKPC
1893,blaKPC-11_1_HM066995,blaKPC,1,HM066995,225,no,no,blaKPC
1897,blaKPC-12_1_HQ342889,blaKPC,1,HQ342889,225,no,no,blaKPC
1896,blaKPC-13_1_HQ342890,blaKPC,1,HQ342890,225,no,no,blaKPC
1891,blaKPC-2_1_JF431928,blaKPC,1,JF431928,225,no,no,blaKPC
1892,blaKPC-3_1_HM769262,blaKPC,1,HM769262,225,no,no,blaKPC
1901,blaKPC-4_1_AY700571,blaKPC,1,AY700571,225,no,no,blaKPC
1900,blaKPC-5_1_EU400222,blaKPC,1,EU400222,225,no,no,blaKPC
1903,blaKPC-6_1_EU555534,blaKPC,1,EU555534,225,no,no,blaKPC
1894,blaKPC-7_1_EU729727,blaKPC,1,EU729727,225,no,no,blaKPC
1899,blaKPC-8_1_FJ234412,blaKPC,1,FJ234412,225,no,no,blaKPC
1898,blaKPC-9_1_FJ624872,blaKPC,1,FJ624872,225,no,no,blaKPC
1890,blaERP-1_1_AY077733,blaERP,1,AY077733,226,no,no,blaERP
1889,sul1_11_DQ914960,sul,11,DQ914960,227,no,yes,sul
1887,VanY-F_1_AF155139,VanY-F,1,AF155139,228,yes,no,VanY-F
1888,VanYF-Pp_2_AF155139,VanYF-Pp,2,AF155139,228,yes,no,VanY-F
1884,blaIMI-1_1_U50278,blaIMI,1,U50278,229,yes,no,blaIMI
1886,blaIMI-2_1_DQ173429,blaIMI,1,DQ173429,229,yes,no,blaIMI
1885,blaIMI-3_1_GU015024,blaIMI,1,GU015024,229,yes,no,blaIMI
1883,blaNMC-A_1_AJ536087,blaNMC-A,1,AJ536087,229,yes,no,blaIMI
626,blaGOB-11_1_AY647248,blaGOB,1,AY647248,230,no,yes,blaGOB
623,blaGOB-13_1_AY647251,blaGOB,1,AY647251,230,no,yes,blaGOB
625,blaGOB-13_2_AY647250,blaGOB,2,AY647250,230,no,yes,blaGOB
627,blaGOB-14_1_AY647252,blaGOB,1,AY647252,230,no,yes,blaGOB
624,blaGOB-15_1_AY775547,blaGOB,1,AY775547,230,no,yes,blaGOB
628,blaBES-1_1_AF234999,blaBES,1,AF234999,231,no,no,blaBES
635,blaCTX-M-102_1_HQ398215,blaCTX-M,1,HQ398215,232,no,yes,blaCTX-M
678,blaCTX-M-105_1_HQ833651,blaCTX-M,1,HQ833651,232,no,yes,blaCTX-M
679,blaCTX-M-106_1_HQ913565,blaCTX-M,1,HQ913565,232,no,yes,blaCTX-M
638,blaCTX-M-110_1_JF274242,blaCTX-M,1,JF274242,232,no,yes,blaCTX-M
639,blaCTX-M-111_1_JF274243,blaCTX-M,1,JF274243,232,no,yes,blaCTX-M
640,blaCTX-M-112_1_JF274246,blaCTX-M,1,JF274246,232,no,yes,blaCTX-M
641,blaCTX-M-113_1_JF274247,blaCTX-M,1,JF274247,232,no,yes,blaCTX-M
646,blaCTX-M-13_2_AF252623,blaCTX-M,2,AF252623,232,no,yes,blaCTX-M
643,blaCTX-M-14_1_JF701188,blaCTX-M,1,JF701188,232,no,yes,blaCTX-M
653,blaCTX-M-14_31_GU732835,blaCTX-M,31,GU732835,232,no,yes,blaCTX-M
657,blaCTX-M-14_38_GU226840,blaCTX-M,38,GU226840,232,no,yes,blaCTX-M
658,blaCTX-M-14_41_AY847147,blaCTX-M,41,AY847147,232,no,yes,blaCTX-M
659,blaCTX-M-14_42_AY847146,blaCTX-M,42,AY847146,232,no,yes,blaCTX-M
660,blaCTX-M-14_43_AY847145,blaCTX-M,43,AY847145,232,no,yes,blaCTX-M
661,blaCTX-M-14_44_AY847144,blaCTX-M,44,AY847144,232,no,yes,blaCTX-M
662,blaCTX-M-14_45_AY847143,blaCTX-M,45,AY847143,232,no,yes,blaCTX-M
666,blaCTX-M-14_48_AJ416341,blaCTX-M,48,AJ416341,232,no,yes,blaCTX-M
649,blaCTX-M-14_7_EU274579,blaCTX-M,7,EU274579,232,no,yes,blaCTX-M
654,blaCTX-M-16_1_AY029068,blaCTX-M,1,AY029068,232,no,yes,blaCTX-M
644,blaCTX-M-17_1_AY033516,blaCTX-M,1,AY033516,232,no,yes,blaCTX-M
652,blaCTX-M-17_2_AF454633,blaCTX-M,2,AF454633,232,no,yes,blaCTX-M
655,blaCTX-M-19_1_AF325134,blaCTX-M,1,AF325134,232,no,yes,blaCTX-M
665,blaCTX-M-21_1_AJ416346,blaCTX-M,1,AJ416346,232,no,yes,blaCTX-M
647,blaCTX-M-24_1_EU921824,blaCTX-M,1,EU921824,232,no,yes,blaCTX-M
651,blaCTX-M-24_2_EF570050,blaCTX-M,2,EF570050,232,no,yes,blaCTX-M
667,blaCTX-M-24_8_EF374096,blaCTX-M,8,EF374096,232,no,yes,blaCTX-M
648,blaCTX-M-27_1_EU916273,blaCTX-M,1,EU916273,232,no,yes,blaCTX-M
629,blaCTX-M-45_1_D89862,blaCTX-M,1,D89862,232,no,yes,blaCTX-M
631,blaCTX-M-46_1_AY847147,blaCTX-M,1,AY847147,232,no,yes,blaCTX-M
632,blaCTX-M-47_1_AY847143,blaCTX-M,1,AY847143,232,no,yes,blaCTX-M
633,blaCTX-M-48_1_AY847144,blaCTX-M,1,AY847144,232,no,yes,blaCTX-M
